ADR name,Random Forest Mean AUC,Web Mean AUC,Positive Count
Congenital_eye_disorder,0.5109335709,0.401517,13
Ear_disorder,0.5108764582,0.672206,42
Fibrocystic_breast_disease,0.5105235043,0.529321,11
Temperature_intolerance,0.5101495727,0.672201,11
Hepatic_failure,0.5096571746,0.79149,150
Cardiac_fibrillation,0.509008567,0.761701,153
Tongue_discolouration,0.5087515777,0.734232,42
Swelling,0.5086864745,0.762494,177
Ulcer,0.5085967566,0.721062,249
Fatigue,0.5085036368,0.734274,376
Hyperaesthesia,0.5084519273,0.761291,55
Ovarian_cancer,0.5081192456,0.677756,12
Cerebral_ischaemia,0.5073588722,0.69414,39
Amblyopia,0.5070066598,0.820663,76
Ejaculation_delayed,0.5065705128,0.475362,11
Face_oedema,0.5065560106,0.733269,171
Disseminated_intravascular_coagulation,0.5060950743,0.651034,37
Goitre,0.5057144948,0.647097,34
Skin_discolouration,0.5056248472,0.817003,86
Iritis,0.5055058069,0.604912,27
Immune_system_disorder,0.5052689767,0.79744,97
Leiomyoma,0.5047723804,0.333223,15
Coordination_abnormal,0.5045738927,0.845284,90
Tendon_disorder,0.5043958883,0.472919,22
Metabolic_acidosis,0.5039292272,0.610793,30
Parosmia,0.5038572224,0.719318,51
Blepharitis,0.5038402805,0.746848,54
Osteomyelitis,0.5038372438,0.695464,13
Nodal_arrhythmia,0.503493466,0.557815,12
Gamma-glutamyltransferase_increased,0.5032604624,0.714167,38
Albuminuria,0.5029735814,0.780113,87
Fluid_overload,0.5028807746,0.642104,33
Gastric_disorder,0.5026152963,0.781231,85
Proctitis,0.5017776079,0.61689,21
Atrial_fibrillation,0.5010517412,0.775347,129
Vasculitis_necrotising,0.5005813953,0.749035,17
Paralysis,0.5004461385,0.742337,107
Oropharyngeal_pain,0.5003712139,0.810037,70
Glucose_tolerance_decreased,0.5003014643,0.619262,17
Depressed_level_of_consciousness,0.5000399407,0.59353,31
Prostatic_disorder,0.4998795923,0.731997,47
Proteinuria,0.499784697,0.796424,82
Chromaturia,0.4997628839,0.512938,18
Colitis,0.4994359352,0.8384,159
Accommodation_disorder,0.499239494,0.653017,24
Hypovolaemia,0.4991694352,0.538443,19
Angiopathy,0.4990521342,0.711472,152
Injection_site_pain,0.4988801236,0.810534,72
Sinus_bradycardia,0.4987336807,0.707134,39
Diverticulitis,0.4985538841,0.69217,22
Melaena,0.4985043878,0.802342,109
Breast_engorgement,0.4983726859,0.437322,12
Progressive_multifocal_leukoencephalopathy,0.4982999611,0.743711,16
Sexual_dysfunction,0.497563942,0.608202,40
Dermatitis_atopic,0.4969782557,0.602455,30
Strabismus,0.496975547,0.392372,14
Lethargy,0.4969518543,0.727895,121
Arterial_disorder,0.4965446548,0.55186,42
Keratitis,0.4964208434,0.797628,71
Respiratory_disorder,0.4961132817,0.751519,106
Muscle_spasms,0.4960875614,0.728309,328
Liver_disorder,0.4958790803,0.806742,76
Hypersensitivity,0.4957482682,0.792398,504
Blood_alkaline_phosphatase_increased,0.4955158221,0.774862,118
Sialoadenitis,0.4952380952,0.549647,14
Thyroid_disorder,0.4950659962,0.473716,15
Lacrimal_disorder,0.4945219266,0.434938,27
Abdominal_pain,0.4937003104,0.745078,478
Supraventricular_tachycardia,0.4930792077,0.768661,61
Corneal_deposits,0.4930712306,0.540287,12
Congenital_anomaly,0.4926980941,0.581719,27
Dysgeusia,0.4926779871,0.692174,251
Apnoea,0.4918514306,0.815921,78
Tubulointerstitial_nephritis,0.4916545793,0.810066,73
Leukaemia,0.4909755848,0.683816,39
Headache,0.4895788423,0.738737,619
Abdominal_discomfort,0.4894593045,0.729533,106
Pleural_disorder,0.4889835098,0.830375,86
Major_depression,0.4889125167,0.4936,18
Sputum_increased,0.4887374027,0.492798,18
Abdominal_pain_upper,0.4884525723,0.766273,98
Local_reaction,0.4883277735,0.808875,46
Conjunctivitis,0.4882266146,0.741467,226
Pain,0.4873210478,0.764127,590
Aplastic_anaemia,0.4871624931,0.855538,116
Completed_suicide,0.486709595,0.841833,63
Shock,0.4863995762,0.781693,176
Hot_flush,0.4859961038,0.773638,105
Furuncle,0.4854742781,0.61188,42
Nausea,0.4850394804,0.810474,660
Nephropathy,0.484923928,0.883726,63
Eye_haemorrhage,0.4848981534,0.489807,34
Thrombocytosis,0.4847600078,0.736283,46
Paraesthesia,0.4845334863,0.722091,416
Pulmonary_eosinophilia,0.4845033057,0.508066,19
Injection_site_reaction,0.4843832635,0.770605,81
Hypoalbuminaemia,0.4842082947,0.56586,15
Uterine_leiomyoma,0.4840619644,0.390765,22
Sleep_disorder,0.4840192325,0.772602,109
Feeling_hot,0.4839441849,0.6267,32
Dissociation,0.4837636259,0.751943,44
Nephrotic_syndrome,0.4833045266,0.734449,48
Haematuria,0.4832098869,0.757556,208
Neoplasm_skin,0.4829799107,0.567978,23
Prurigo,0.4826656717,0.477621,28
Photophobia,0.4824631786,0.797301,97
Pharyngitis,0.4816083882,0.737738,271
Diaphragmatic_hernia,0.4815295362,0.510857,15
Nasal_congestion,0.4812762873,0.797135,124
Epistaxis,0.4812740711,0.729752,223
Choreoathetosis,0.4806547619,0.68083,23
Haemorrhage_intracranial,0.4801817705,0.37952,21
Osteoarthropathy,0.4801158301,0.455577,14
Abnormal_faeces,0.4800935561,0.426393,18
Hyperkinesia,0.480059564,0.763055,135
Agranulocytosis,0.4799920421,0.810201,212
Pleurisy,0.4798449612,0.48181,17
Vulvovaginal_candidiasis,0.4797477222,0.705669,49
Movement_disorder,0.4797017948,0.527619,15
Candida_infection,0.4794246665,0.812476,140
Hyponatraemia,0.4793164365,0.827872,132
Teratogenicity,0.4792635659,0.540583,17
Platelet_count_decreased,0.4792357238,0.68702,43
Aspartate_aminotransferase_increased,0.4791648023,0.778046,136
Visual_impairment,0.4790423407,0.725059,255
Opisthotonus,0.478989704,0.487692,14
Glycosuria,0.4789110695,0.827747,105
Respiratory_failure,0.4788464135,0.794469,57
Urine_abnormality,0.4788394901,0.74759,51
Myoclonus,0.4788099265,0.786052,55
Blood_disorder,0.4785579732,0.608917,40
Brain_oedema,0.4784077694,0.527966,18
Parotid_gland_enlargement,0.4784033203,0.698892,16
Azotaemia,0.4782644313,0.83553,53
Pyelonephritis,0.477965225,0.695611,37
Glaucoma,0.4778479675,0.83354,85
Injection_site_inflammation,0.4777267157,0.672888,25
Cognitive_disorder,0.4777250744,0.53605,23
Disorientation,0.4777198761,0.836875,80
Cardiogenic_shock,0.4776709402,0.48675,11
Cardiac_valve_disease,0.4776705277,0.661378,14
Cerebellar_syndrome,0.4775641026,0.577214,11
Hepatitis_cholestatic,0.4774039092,0.59879,33
Rash_generalised,0.4773645389,0.701657,31
Urinary_incontinence,0.4772765059,0.790224,118
Bronchitis,0.4768961689,0.753287,203
Laryngitis,0.4768325383,0.791858,81
Rectal_tenesmus,0.4766404199,0.664938,29
Balanitis,0.4766248391,0.581017,12
Thrombophlebitis,0.4764998584,0.820605,156
Anaphylactic_shock,0.4764556235,0.744231,283
Hepatic_enzyme_increased,0.4762931034,0.782585,97
Hepatitis,0.4762922718,0.748527,283
Orthostatic_hypotension,0.4762486274,0.778369,169
Ageusia,0.4761157015,0.812992,76
Cardiac_failure,0.4759776287,0.767597,237
Balance_disorder,0.4757806826,0.5067,26
Peripheral_coldness,0.4755446623,0.450087,26
Ear_infection,0.4753750339,0.835589,117
Rash_erythematous,0.4752596949,0.74739,58
Convulsion,0.4747760004,0.737085,356
Renal_pain,0.4745574343,0.785369,50
Transaminases_increased,0.4745446339,0.793659,52
Polyuria,0.4745437098,0.784915,126
Opportunistic_infection,0.4744401378,0.512184,17
Dysuria,0.4741939179,0.77409,199
Obstruction,0.4740687192,0.770919,103
Peptic_ulcer,0.4735809179,0.81859,71
Biliary_colic,0.4734475547,0.437634,12
Gastrointestinal_perforation,0.4734254188,0.46535,16
Urticaria,0.4734065246,0.734164,492
Ventricular_fibrillation,0.4733408829,0.862837,59
Aneurysm,0.4731481481,0.37885,17
Extrapyramidal_disorder,0.4731309856,0.869266,73
Hypertriglyceridaemia,0.472853318,0.670571,44
Rales,0.4727608817,0.624155,23
Encephalopathy,0.4725880904,0.825645,67
Vomiting,0.4723074552,0.759162,616
Arachnoiditis,0.4721295782,0.706334,20
Musculoskeletal_chest_pain,0.4721077121,0.439454,13
Viral_infection,0.4720355731,0.800331,101
Fungal_skin_infection,0.4720066084,0.753684,47
Alanine_aminotransferase_increased,0.4719244122,0.770707,132
Dermatitis_contact,0.4719201267,0.802713,120
Ventricular_dysfunction,0.4719193336,0.631481,18
Toothache,0.471791291,0.831217,54
Cyanosis,0.471769072,0.721712,50
Vaginal_haemorrhage,0.4715594975,0.809248,72
Bone_disorder,0.4711399885,0.541402,42
Loss_of_libido,0.471110026,0.657483,23
Grand_mal_convulsion,0.4707196854,0.62213,38
Hyperthyroidism,0.470610708,0.502377,28
Dysarthria,0.4704740677,0.776662,81
Pruritus_genital,0.4700072622,0.557237,26
Gastroenteritis,0.4698247846,0.785783,150
Drug_hypersensitivity,0.4697045883,0.359816,16
Telangiectasia,0.4695046631,0.8445,20
Sensitisation,0.4694298629,0.596572,29
Retinal_haemorrhage,0.4694195598,0.689832,19
Photopsia,0.4693148265,0.348996,18
Gastritis,0.4688903925,0.776012,164
Hepatobiliary_disease,0.4688835829,0.776839,83
Breast_neoplasm,0.4680541502,0.455577,36
Pemphigus,0.4680524378,0.493156,16
Eructation,0.4679467045,0.775578,106
Phlebitis,0.4677497953,0.747756,111
Abdominal_pain_lower,0.4674783436,0.550169,19
Apathy,0.466563786,0.852088,62
Benign_neoplasm_of_skin,0.4663988714,0.488306,13
Dehydration,0.4663552049,0.785289,146
Thrombocytopenia,0.4662942389,0.806264,409
Dysmenorrhoea,0.4662673145,0.739676,96
Cardiac_flutter,0.4662274623,0.59047,36
Arrhythmia,0.4659984678,0.753031,265
Ataxia,0.4657247777,0.818044,162
Dermatitis,0.4657134362,0.735792,313
Skin_odour_abnormal,0.4657102065,0.546966,19
Neuritis,0.4656890796,0.766603,92
Pulmonary_oedema,0.4653312993,0.767799,131
Discomfort,0.4651221009,0.756696,174
Neck_pain,0.4649439609,0.835583,94
Cardiac_failure_congestive,0.4648164879,0.813829,171
Vasculitis,0.4647299862,0.788433,148
Red_blood_cell_sedimentation_rate_increased,0.464601645,0.543839,22
Myositis,0.464059133,0.765087,48
Diarrhoea,0.4639703922,0.770738,560
Interstitial_lung_disease,0.4638286473,0.779764,85
Skin_cancer,0.4637668462,0.625588,36
Subdural_haematoma,0.4635640036,0.60168,13
Pancreatitis_acute,0.4633816771,0.478856,31
Abdominal_distension,0.4633491486,0.751606,184
Periodontitis,0.4631944444,0.612761,11
Lower_respiratory_tract_infection,0.4630718954,0.47696,26
Bladder_spasm,0.4629807692,0.819444,11
Malaise,0.4626840982,0.723338,388
Chloasma,0.461964657,0.680776,13
Hearing_impaired,0.461902117,0.767683,105
Hypoglycaemia,0.4618027144,0.775241,144
Weight_increased,0.4617921129,0.753821,223
Pallor,0.4617914923,0.797927,73
Hepatic_cirrhosis,0.4617745698,0.57504,29
Lacrimation_increased,0.4616696238,0.813636,119
Dry_skin,0.4614958506,0.780826,166
Angina_pectoris,0.4614676235,0.762301,188
Hemiplegia,0.4614520764,0.590982,31
Gingival_hyperplasia,0.4609654676,0.625396,28
Ventricular_tachycardia,0.4604407698,0.850097,87
Throat_irritation,0.4604116602,0.627542,36
Gastric_ulcer,0.460062807,0.811298,55
Psoriasis,0.4599861701,0.832762,61
Haematemesis,0.4597300916,0.831169,72
Pain_in_extremity,0.4595414525,0.762636,122
Nightmare,0.4592626842,0.851551,76
Atrioventricular_block,0.4591392813,0.825128,114
Myopia,0.4590364451,0.50525,16
Death,0.4583351453,0.752809,194
Sinus_tachycardia,0.458165646,0.754896,29
Dizziness,0.4581447847,0.739191,561
Leukopenia,0.457950527,0.790648,357
Hypochromic_anaemia,0.4578427911,0.601477,36
Meningitis,0.4575331803,0.65995,42
Dysphagia,0.4574856802,0.776862,187
Trismus,0.4574454944,0.58361,20
Renal_failure_chronic,0.4572208197,0.468844,12
Polyp,0.4571637552,0.70477,39
Drug_dependence,0.4566848316,0.477491,18
Coronary_artery_disease,0.4564888587,0.679575,45
Gangrene,0.4561965812,0.527778,11
Optic_neuritis,0.4560894186,0.746235,54
Dyspnoea_exertional,0.4558082121,0.449393,12
Sensation_of_foreign_body,0.455639673,0.683326,30
Cardio-respiratory_arrest,0.4555770887,0.527456,17
Pulmonary_fibrosis,0.4555745966,0.739711,53
Dysphonia,0.4555166108,0.80153,94
Skin_exfoliation,0.4553519658,0.768464,87
Diarrhoea_haemorrhagic,0.4553455623,0.654793,20
Paraesthesia_oral,0.4553266316,0.390199,30
Toxic_epidermal_necrolysis,0.4553112912,0.800066,204
Carpal_tunnel_syndrome,0.4552871604,0.652147,24
Micturition_disorder,0.4552584358,0.612499,28
Conjunctival_oedema,0.4550387597,0.796654,17
Respiratory_tract_infection,0.4549228761,0.723115,209
Lymphopenia,0.4547728938,0.788057,41
Pleural_effusion,0.4547399204,0.806661,82
Osteoporosis,0.4542676941,0.850289,80
Erythema_multiforme,0.4542451423,0.773141,201
Confusional_state,0.4542321772,0.759663,352
Nephropathy_toxic,0.4540452269,0.906982,52
Blood_urea_increased,0.4540377606,0.844152,97
Tongue_oedema,0.4536983745,0.685296,43
Nodule,0.4535917865,0.643059,45
Hyperreflexia,0.4535864601,0.692823,43
Lung_disorder,0.4534652064,0.783471,70
Pruritus,0.4533185971,0.726791,543
Metrorrhagia,0.4531898013,0.835406,80
Joint_stiffness,0.4531017485,0.5466,23
Diplopia,0.4529116819,0.798673,139
Serum_sickness,0.4528166969,0.720229,48
Vertigo,0.4528117929,0.729884,334
Nystagmus,0.4528048644,0.847001,63
Skin_disorder,0.4525275932,0.80002,120
White_blood_cell_count_decreased,0.4522987323,0.531122,27
Depersonalisation,0.4522612885,0.836543,59
Hypotonia,0.4520786092,0.806582,56
Hiccups,0.4520676692,0.760031,107
Porphyria,0.4519548271,0.543857,25
Muscle_twitching,0.4519542274,0.804797,91
Muscle_atrophy,0.4518983269,0.602179,14
Chest_pain,0.451592236,0.719894,329
Muscular_weakness,0.4515804614,0.779416,186
Influenza,0.4515695998,0.739189,263
Cardiovascular_disorder,0.4514533824,0.804282,78
Tinnitus,0.4512876672,0.781798,261
Application_site_reaction,0.451033149,0.493093,35
Diabetes_mellitus,0.4508548108,0.780693,138
Hyperlipidaemia,0.4508498297,0.815643,67
Purpura,0.4508192439,0.750157,214
Oedema,0.4507775713,0.711721,515
Pneumothorax,0.4507205971,0.552962,22
Angioedema,0.4507193548,0.764609,287
Erythema,0.4506932736,0.726462,420
Gastrointestinal_haemorrhage,0.4506892911,0.760928,147
Otitis_media,0.4496845217,0.815928,94
Oesophagitis,0.4494434544,0.777206,153
Scrotal_oedema,0.4492791795,0.422678,16
Calcinosis,0.4491764189,0.808091,15
Stridor,0.4491255617,0.602486,24
Breath_odour,0.4490559187,0.570163,27
Irritable_bowel_syndrome,0.4488173878,0.408543,19
Body_temperature_increased,0.4485968063,0.741708,445
Mouth_ulceration,0.4485680736,0.793479,126
Faecal_incontinence,0.4483772894,0.670771,41
Eye_pruritus,0.4483409672,0.527132,28
Coma,0.4479856923,0.774905,121
Infestation,0.4479374749,0.803111,110
Salivary_hypersecretion,0.4477505413,0.821717,104
Haemoglobin_decreased,0.4477504565,0.830613,50
Pneumonia,0.4476836202,0.728284,228
Panic_reaction,0.4476090594,0.373168,22
Epididymitis,0.447101588,0.503489,24
Alopecia,0.4468462268,0.744294,314
Dementia,0.4467772002,0.522352,27
Cholestasis,0.4467628913,0.806254,72
Rash_maculo-papular,0.4466907846,0.745005,111
Breast_feeding,0.4463437915,0.759616,49
Urinary_retention,0.4463354975,0.798327,164
Pulmonary_embolism,0.4459645326,0.718263,112
Emotional_distress,0.4459540597,0.492582,27
Incontinence,0.4455621771,0.770696,143
Cardiomegaly,0.4453793669,0.829658,45
Mediastinal_disorder,0.4452653142,0.781047,114
Dyskinesia,0.4450664807,0.854022,73
Ischaemia,0.4449954456,0.784338,120
Hepatic_steatosis,0.4449267582,0.598648,30
Oesophageal_disorder,0.4444656738,0.795106,62
Burning_sensation,0.4444438453,0.797816,59
Depression,0.4441894584,0.757686,52
Angina_unstable,0.4440353144,0.564607,17
Infection_susceptibility_increased,0.4439124839,0.527007,13
Gastrooesophageal_reflux_disease,0.4438866425,0.791663,75
Oral_candidiasis,0.4438487864,0.848115,75
Rhinitis,0.4435671855,0.729202,233
Dry_eye,0.4434261683,0.798105,99
Scotoma,0.4433889392,0.816056,71
Myocardial_infarction,0.4432768092,0.756291,211
Abortion_spontaneous,0.4432432432,0.650689,14
Hyperphosphataemia,0.4429644211,0.736761,29
Restless_legs_syndrome,0.4428952991,0.316784,11
Myalgia,0.4427822556,0.759008,355
Flushing,0.4427532544,0.726549,260
Anxiety,0.4427382836,0.703699,339
Dental_caries,0.442526051,0.463272,32
Tenosynovitis,0.4421660119,0.44696,27
Tooth_abscess,0.4421482119,0.676804,42
Abscess,0.4420573132,0.756335,99
Eye_pain,0.4418866165,0.734206,117
Rhabdomyolysis,0.441761307,0.825983,75
Arthralgia,0.4415344874,0.740763,352
Night_sweats,0.441516134,0.588996,27
Thinking_abnormal,0.4414584514,0.730907,84
Ileus,0.4413726843,0.811111,88
Photosensitivity_reaction,0.4411422888,0.801163,217
Electrocardiogram_abnormal,0.4411407924,0.747632,54
Nervous_system_disorder,0.4411242403,0.762413,167
Inappropriate_antidiuretic_hormone_secretion,0.4409837724,0.793544,49
Bruxism,0.4407979408,0.518814,14
Premenstrual_syndrome,0.4406370656,0.645609,14
Gingivitis,0.4405780387,0.82793,75
Asthma,0.4400559745,0.763285,176
Feeling_cold,0.4399336112,0.689614,28
Petechiae,0.4398263634,0.822639,86
Hallucination,0.4395428836,0.762019,214
Cough,0.4394743668,0.765996,344
Muscle_contractions_involuntary,0.4393939394,0.546427,34
Acne,0.4393767809,0.738401,162
Cystitis,0.4393595041,0.733929,131
Varicose_vein,0.4393571039,0.555871,33
Benign_prostatic_hyperplasia,0.4392875705,0.452557,12
Renal_impairment,0.4391949172,0.798687,133
Dyspepsia,0.4391113636,0.722818,407
Thirst,0.4390919665,0.798018,125
Prostatitis,0.4389441639,0.444046,12
Pancreatitis,0.43862377,0.759527,240
Blindness,0.4385434064,0.73347,89
Asthenia,0.4383896536,0.75844,482
Gastrointestinal_pain,0.43832021,0.526776,29
Hepatic_necrosis,0.4379628636,0.801996,65
Labyrinthitis,0.4378739729,0.558278,13
Pancreatic_disorder,0.4376631932,0.734962,32
Bradycardia,0.4374989485,0.755597,229
Immunosuppression,0.4372581927,0.868188,34
Eye_disorder,0.4369854652,0.755237,123
Hypoxia,0.4366484193,0.811818,73
Inflammation,0.4365432099,0.810446,116
Haemolysis,0.4362618278,0.561722,32
Endocrine_disorder,0.4361828265,0.79027,44
Eczema,0.4359758697,0.781505,145
Constipation,0.4358385093,0.784975,415
Venous_thrombosis,0.4357017716,0.742252,89
Hypertension,0.435654864,0.744634,362
Jaundice_cholestatic,0.4354894387,0.764539,96
Ecchymosis,0.4354215234,0.769206,143
Generalised_oedema,0.4352746266,0.68342,51
Hypertrophy,0.434903684,0.774005,144
Effusion,0.4348067587,0.829935,95
Xerophthalmia,0.4348028274,0.482919,23
Skin_necrosis,0.4346165063,0.66037,29
Breast_disorder,0.434378058,0.798989,68
Myocardial_ischaemia,0.4337011371,0.79591,72
Scab,0.4335433265,0.473545,20
Flank_pain,0.4332593628,0.484732,22
Haemolytic_anaemia,0.4323381405,0.803311,162
Duodenitis,0.4322195415,0.598478,24
Fibrosis,0.432179225,0.761992,70
Pollakiuria,0.4321068948,0.802987,191
Glucose_tolerance_impaired,0.4319887557,0.813703,36
