ADR name,Web Mean AUC,Paper Mean AUC,Positive Count
Raised_liver_function_tests,nan,-,
Sneezing_excessive,nan,-,
Blister,0.739403,-,65.0
Transaminitis,nan,-,
Nonketotic_hyperglycinaemia,nan,-,1.0
Bronchopulmonary_aspergillosis,nan,-,1.0
Faeces_hard,nan,-,1.0
Crying_abnormal,nan,-,
Hepatitis,0.748527,-,283.0
Jaw_stiffness,nan,-,
Generalized_illness,nan,-,
Hepatic_encephalopathy,nan,-,8.0
Claustrophobia,nan,-,1.0
Taste_altered,nan,-,
Venoocclusive_liver_disease,nan,-,6.0
Vaginal_itching,nan,-,
Lung_adenocarcinoma,nan,-,1.0
Withdrawal_bleed,nan,-,2.0
Vaginal_disorder,nan,-,3.0
Blastomycosis,nan,-,0.0
Dermatitis_irritant_contact,nan,-,
Tuberculosis,nan,-,10.0
Vaginal_neoplasm,nan,-,3.0
Angina_pectoris,0.762301,-,188.0
Prinzmetal_angina,nan,-,1.0
Angina_unstable,0.564607,-,17.0
Prostatic_disorder,0.731997,-,47.0
Viral_pharyngitis,nan,-,0.0
Autoimmune_hepatitis,nan,-,1.0
Neoplasm_prostate,nan,-,5.0
Superior_sagittal_sinus_thrombosis,nan,-,1.0
Chorioretinopathy,nan,-,2.0
Pelvic_peritoneal_adhesions,nan,-,
Trigeminal_pulse,nan,-,
Venous_pressure_increased,nan,-,1.0
Liver_fatty,nan,-,
Systemic_inflammatory_response_syndrome,nan,-,1.0
Raised_serum_lipid_levels,nan,-,
Common_wart,nan,-,
Nail_infection,nan,-,1.0
Joint_range_of_motion_decreased,nan,-,2.0
Unspecified_circulatory_system_disorder,nan,-,
Blunted_affect,nan,-,3.0
Sleep_terror,nan,-,2.0
Micturition_disorder,0.612499,-,28.0
Flu_symptoms,nan,-,
Neck_oedema_of,nan,-,
Nerve_paralysis,nan,-,
Blood_bilirubin_increased,0.827362,-,64.0
Night_cramps,nan,-,
Sinus_infection,nan,-,
Autism,nan,-,1.0
Viral_syndrome,nan,-,
Reticulocyte_count_increased,nan,-,1.0
Serum_gastrin_increased,nan,-,
Viraemia,nan,-,2.0
Unspecified_disorder_of_intestine,nan,-,
Narcolepsy,nan,-,2.0
Body_temperature_increased,0.741708,-,445.0
Adenocarcinoma,nan,-,6.0
Hepatic_steatosis,0.598648,-,30.0
Tinea_pedis,nan,-,3.0
Mucosal_ulceration,nan,-,5.0
Adenitis,nan,-,
Rectal_cramps,nan,-,
Chemosis,nan,-,
Chest_heaviness,nan,-,
Pain_in_elbow,nan,-,
Plantar_warts,nan,-,
Painful_red_eyes,nan,-,
Abnormal_sensation_in_eye,nan,-,10.0
Dyspareunia,0.39735,-,11.0
Allergic_granulomatous_angiitis,nan,-,3.0
Pruritus,0.726791,-,543.0
Pruritus_genital,0.557237,-,26.0
Hand_and_foot_syndrome_secondary_to_sickle_cell_anaemia,nan,-,7.0
Prurigo,0.477621,-,28.0
Urticaria,0.734164,-,492.0
Hyperfibrinogenemia,nan,-,
Pruritus_vulvae,nan,-,
Bone_lesion,nan,-,0.0
Spina_bifida,nan,-,3.0
Sinus_arrhythmia,0.403711,-,13.0
Thromboembolic_event,nan,-,
Arrhythmia,0.753031,-,265.0
Haemochromatosis,nan,-,2.0
Neutrophilic_dermatosis,nan,-,8.0
Genital_pain_male,nan,-,
Hemiplegia,0.590982,-,31.0
Chest_pressure,nan,-,
Transaminases_increased,0.793659,-,52.0
Gangrene,0.527778,-,11.0
Nuchal_rigidity,nan,-,4.0
Psychosexual_disorder,nan,-,2.0
Menstruation_delayed,nan,-,6.0
Hand_swelling,nan,-,
Nephrosclerosis,nan,-,3.0
Taste_metallic,nan,-,
Aphonia,nan,-,5.0
Costochondritis,nan,-,4.0
Corneal_defect,nan,-,1.0
Connective_tissue_inflammation,nan,-,0.0
Dysdiadochokinesis,nan,-,
Subcutaneous_abscess,nan,-,2.0
Convulsive_disorder,nan,-,
Gastric_haemorrhage,nan,-,6.0
Hepatocellular_adenoma,nan,-,
Convulsions_aggravated,nan,-,
Malignant_ovarian_cyst,nan,-,1.0
Interstitial_lung_disease,0.779764,-,85.0
Xerophthalmia,0.482919,-,23.0
Pleural_disorder,0.830375,-,86.0
Pleural_effusion,0.806661,-,82.0
Ascites,0.785647,-,49.0
Xeroderma,nan,-,3.0
Helicobacter_gastritis,nan,-,1.0
Bilirubin_unconjugated_increased,nan,-,
Relapsing_fever,nan,-,2.0
Upper_limb_oedema,nan,-,
Dry_eye_syndrome,nan,-,
Follicular_thyroid_cancer,nan,-,0.0
Metastatic_disease,nan,-,
Placental_disorder,nan,-,1.0
Stridor_inspiratory,nan,-,
Feeling_abnormal,0.56939,-,23.0
Paranoid_reaction,nan,-,
Arachnoiditis,0.706334,-,20.0
Hypogeusia,nan,-,4.0
Aortic_disorder,nan,-,1.0
Acute_gastroenteritis,nan,-,
Dry_throat,0.456176,-,33.0
Right_upper_quadrant_pain,nan,-,
Bronchopleural_fistula,nan,-,0.0
Overdose_effect,nan,-,
Multiple_endocrine_adenomatosis,nan,-,
Pupils_pinpoint,nan,-,
Dizziness,0.739191,-,561.0
Echolalia,nan,-,1.0
Allergic_cutaneous_angiitis,nan,-,
Retinal_vein_thrombosis,nan,-,7.0
Renal_rickets,nan,-,1.0
Retinitis_pigmentosa,0.483026,-,28.0
Retinitis,nan,-,10.0
Primary_graft_dysfunction,nan,-,
Cardio-respiratory_arrest,0.527456,-,17.0
Weakness,nan,-,
Respiratory_tract_infection,0.723115,-,209.0
Abdominal_bloating,nan,-,
Epigastric_discomfort,0.72809,-,31.0
Intracranial_pressure_increased,0.768294,-,51.0
Renal_tubular_disorder,0.76948,-,45.0
Kidney_function_abnormal,nan,-,
Myocardial_ischaemia,0.79591,-,72.0
Diabetic_macular_edema,nan,-,
Glycosuria,0.827747,-,105.0
Osteomalacia,nan,-,7.0
Osteomyelitis,0.695464,-,13.0
Osteonecrosis,0.792867,-,44.0
Vocal_cord_paralysis,nan,-,5.0
Red_man_syndrome,nan,-,0.0
Apraxia,nan,-,9.0
Neck_tightness,nan,-,
Bronchopneumonia,nan,-,6.0
Injection_site_haemorrhage,0.547244,-,14.0
Postoperative_hemorrhage,nan,-,
Skin_burning_sensation,0.613506,-,11.0
High_density_lipoprotein_decreased,nan,-,7.0
Adrenal_haemorrhage,nan,-,0.0
Impaired_healing,0.86208,-,54.0
Hemorrhage_of_colon,nan,-,
Sensitisation,0.596572,-,29.0
Buccal_inflammation,nan,-,
Buccal_mucosa_ulceration,nan,-,
Uterine_rupture,nan,-,1.0
Deposit_calcium,nan,-,
Electroencephalogram_abnormal,0.507529,-,19.0
Cellulitis,0.801936,-,87.0
Haemolytic_uraemic_syndrome,0.489089,-,16.0
Intracardiac_thrombus,nan,-,0.0
Sudden_hearing_loss,nan,-,1.0
Catatonia,0.44769,-,20.0
Bronchospasm,0.778139,-,167.0
Stiffness,nan,-,
Deafness,0.774147,-,88.0
Tongue_disorder,0.548793,-,25.0
Neoplasm_recurrence,nan,-,1.0
Endometrial_stromal_sarcoma,nan,-,9.0
Orchitis,nan,-,7.0
Endometrial_hypertrophy,nan,-,1.0
Lupus-like_syndrome,nan,-,2.0
Localized_exfoliation,nan,-,
Necrotizing_enterocolitis,nan,-,
Eustachian_tube_disorder,nan,-,4.0
Penile_discharge,nan,-,0.0
Bradycardia,0.755597,-,229.0
Swollen_arm,nan,-,
Trismus,0.58361,-,20.0
Myopia,0.50525,-,16.0
Mania_acute,nan,-,
Atypical_pneumonia,nan,-,0.0
Difficulty_sleeping,nan,-,
Embolus_leg,nan,-,
Epiglottitis,nan,-,1.0
Excitability,nan,-,
Abdominal_distension_gaseous,nan,-,
Pseudocyst,nan,-,4.0
Teeth_clenching,nan,-,
Lactic_dehydrogenase_activity_increased,nan,-,
Postpartum_disorder,nan,-,1.0
Masked_facies,nan,-,5.0
Idiopathic_thrombocytopenia,nan,-,
Synovial_cyst,nan,-,4.0
Oedema_peripheral,0.749937,-,239.0
Pulmonary_mass,nan,-,1.0
Creatine_increased,nan,-,
Change_of_bowel_habit,nan,-,4.0
Phlebitis,0.747756,-,111.0
Repetitive_speech,nan,-,1.0
Syncope_vasovagal,nan,-,
Livedo_reticularis,nan,-,4.0
Gingival_recession,nan,-,1.0
Sustained_ventricular_tachycardia,nan,-,
Umbilical_cord_compression,nan,-,3.0
Dyslexia,nan,-,1.0
Weight_fluctuation,nan,-,1.0
Calcaneal_spur,nan,-,
Markedly_reduced_dietary_intake,nan,-,
Parapsoriasis,nan,-,1.0
Lenticular_pigmentation,nan,-,1.0
Facial_wasting,nan,-,1.0
Trigger_finger,nan,-,4.0
Genital_candidiasis,0.578494,-,14.0
Smoker,nan,-,
Hunger,nan,-,4.0
Leriche_syndrome,nan,-,1.0
Psoriasis_flare-up,nan,-,
Buffalo_hump,nan,-,
Nasal_septum_perforation,0.873243,0.9055,15.0
Diabetic_vascular_disorder,nan,-,2.0
Hernia_congenital,nan,-,1.0
Congenital_diaphragmatic_hernia,nan,-,2.0
Carbohydrate_tolerance_decreased,0.88833,0.9218,28.0
Cognitive_deterioration,nan,-,
Upper_motor_neurone_lesion,nan,-,1.0
Swelling,0.762494,-,177.0
Fever_neonatal,nan,-,1.0
Salmonella_sepsis,nan,-,0.0
Pancreatitis,0.759527,-,240.0
Grey_syndrome_neonatal,nan,-,1.0
Detrusor_hyperreflexia,nan,-,
Eczema_exacerbated,nan,-,
Hypopyon,nan,-,5.0
Corneal_degeneration,nan,-,3.0
Retinal_atrophy,nan,-,
Culture_positive,nan,-,2.0
Bullous_keratopathy,nan,-,
Autoimmune_thrombocytopenia,nan,-,3.0
Secondary_infection,nan,-,
Nephritis,0.841214,-,90.0
Abdominal_distension,0.751606,-,184.0
Abdominal_pain,0.745078,-,478.0
Abdominal_neoplasm,nan,-,2.0
Abdominal_mass,nan,-,4.0
Cycloplegia,nan,-,5.0
Atrophic_glossitis,nan,-,1.0
Prostration,nan,-,
Bacteraemia,nan,-,8.0
Tympanic_membrane_disorder,nan,-,0.0
Disequilibrium_syndrome,nan,-,
Empiric_treatment,nan,-,
Serum_triglycerides_increased,nan,-,
Pharyngitis_streptococcal,nan,-,6.0
Corpus_luteum_cyst,nan,-,
Schizoaffective_disorder,nan,-,4.0
Myasthenia_gravis-like_syndrome,nan,-,
Persistent_cough,nan,-,
Vulvovaginal_disorder,nan,-,4.0
Serum_amylase_increased,nan,-,
Tenosynovitis,0.44696,-,27.0
Scrotal_ulcer,nan,-,2.0
Hyperkeratosis,0.488047,-,22.0
Renal_vasculitis,nan,-,2.0
Demyelination,nan,-,1.0
Neurofibromatosis,nan,-,1.0
Depressed_level_of_consciousness,0.59353,-,31.0
Haemothorax,nan,-,2.0
Peripheral_motor_neuropathy,nan,-,9.0
Upper_respiratory_tract_infection,0.724788,-,200.0
Bone_spur,nan,-,
Delirium_tremens,nan,-,2.0
Application_site_atrophy,nan,-,3.0
Sticky_skin,0.537867,-,18.0
Corneal_erosion,0.747044,-,12.0
Methaemoglobinaemia,0.585314,-,15.0
Dysphoria,0.578511,-,18.0
Dizziness_postural,0.400643,-,17.0
Delirium_toxic,nan,-,
Extravasation,0.799553,-,70.0
Muscarinic_effects,nan,-,
Dizziness_exertional,nan,-,1.0
Muscle_fatigue,nan,-,3.0
Leukonychia,nan,-,
Xanthoma,nan,-,2.0
Sense_of_oppression,nan,-,0.0
Sarcoidosis,nan,-,2.0
Platelet_count_abnormal,nan,-,1.0
Ventricular_dysfunction,0.631481,-,18.0
Pilonidal_cyst,nan,-,0.0
Heaviness_of_head,nan,-,
Liver_function_test_normal,nan,-,3.0
Colour_blindness,nan,-,5.0
Hepatic_enzyme_abnormal,nan,-,1.0
Nasal_inflammation,nan,-,1.0
Urinary_tract_infection,0.769366,-,214.0
Gastrointestinal_obstruction,nan,-,2.0
Refraction_disorder,nan,-,3.0
Urinary_incontinence,0.790224,-,118.0
Persistent_generalised_lymphadenopathy,nan,-,1.0
Circumoral_oedema,nan,-,1.0
Pollakiuria,0.802987,-,191.0
Monoclonal_gammopathy,nan,-,0.0
Terminal_insomnia,nan,-,5.0
Arthritic_pains,nan,-,
Persistent_dry_cough,nan,-,
Blepharitis,0.746848,-,54.0
Lung_neoplasm,nan,-,3.0
Blepharoconjunctivitis,nan,-,
Intertrigo,nan,-,3.0
Eyelid_ptosis,0.79036,-,49.0
Blepharospasm,0.553394,-,12.0
Mass,0.798029,-,44.0
Effusion,0.829935,-,95.0
Urticaria_vesiculosa,nan,-,1.0
Virilism,nan,-,5.0
Haptoglobin_increased,nan,-,1.0
Granuloma,nan,-,9.0
Bone_marrow_toxicity,nan,-,4.0
Endometrial_adenocarcinoma,nan,-,1.0
Intestinal_perforation,0.456141,-,21.0
Injection_site_bruising,nan,-,2.0
Cardiac_index,nan,-,2.0
Tinea_infection,nan,-,5.0
Intestinal_obstruction,0.820272,-,63.0
Pharyngeal_oedema,0.578438,-,13.0
Facial_rash,nan,-,
Ischaemic_neuropathy,nan,-,4.0
Acquired_immunodeficiency_syndrome,nan,-,1.0
Neoplasm_malignant_aggravated,nan,-,
Intraventricular_haemorrhage,nan,-,1.0
Onychomadesis,nan,-,4.0
Salmonellosis,nan,-,7.0
Pneumocystis_carinii_pneumonia,nan,-,
Conjunctival_irritation,nan,-,1.0
Hair_disorder,nan,-,9.0
Lobar_pneumonia,nan,-,3.0
Haemolysis,0.561722,-,32.0
Psychomotor_skills_impaired,nan,-,6.0
Varicella,0.514865,-,16.0
Hypomagnesaemia,0.726074,-,51.0
Eye_allergy,nan,-,2.0
Keloid_scar,nan,-,0.0
Diastolic_dysfunction,nan,-,1.0
Taste_sweet,nan,-,
Venous_pressure_jugular_increased,nan,-,0.0
Labyrinthitis,0.558278,-,13.0
Labyrinthine_disorder,nan,-,
Pityriasis_lichenoides_et_varioliformis_acuta,nan,-,1.0
Optic_nerve_infarction,nan,-,1.0
Acute_renal_insufficiency,nan,-,
Floppy_infant,nan,-,1.0
Gastrointestinal_candidiasis,nan,-,9.0
Lacrimation_decreased,nan,-,4.0
Inflammatory_swelling,nan,-,
Prostate_cancer_metastatic,nan,-,1.0
Titubation,nan,-,
Nephrocalcinosis,nan,-,3.0
Festinating_gait,nan,-,
Ovarian_cancer,0.677756,-,12.0
Nephritis_interstitial,nan,-,
Thrombocytosis,0.736283,-,46.0
Inferior_vena_cava_syndrome,nan,-,0.0
Gastroenteritis_bacterial,nan,-,0.0
Joint_hyperextension,nan,-,1.0
Reproductive_tract_disorder,nan,-,2.0
Movement_disorder,0.527619,-,15.0
Reactive_airways_disease,nan,-,
Oedema_mucosal,nan,-,2.0
Osteoarthropathy,0.455577,-,14.0
Vocal_cord_disorder,nan,-,1.0
Choreoathetoid_movements,nan,-,
Fibroadenosis_of_breast,nan,-,
Acne_infantile,nan,-,1.0
Pleurisy,0.48181,-,17.0
Pleural_rub,nan,-,0.0
Polyneuritis,nan,-,
Urine_analysis_abnormal,nan,-,5.0
Paralysis_flaccid,nan,-,9.0
Tension_headache,nan,-,8.0
Drug_tolerance,nan,-,1.0
Drug_level_decreased,nan,-,1.0
Drug_level_increased,nan,-,7.0
Eye_movement_disorder,nan,-,1.0
Vascular_anomaly,nan,-,7.0
Tongue_discolouration,0.734232,-,42.0
Diarrhoea_haemorrhagic,0.654793,-,20.0
Yersinia_infection,nan,-,0.0
Gastrointestinal_neoplasm,nan,-,4.0
Alveolitis_allergic,0.555274,-,15.0
Gastrointestinal_haemorrhage,0.760928,-,147.0
Diabetes_insipidus,0.627501,-,11.0
Corneal_scar,nan,-,0.0
Eczema_infected,nan,-,3.0
Deformity,nan,-,3.0
Corneal_stromal_edema,nan,-,
Suicidal_behaviour,nan,-,4.0
Ciliary_muscle_spasm,nan,-,1.0
Flashback,nan,-,0.0
Coma,0.774905,-,121.0
Necrotising_fasciitis,nan,-,4.0
Retinal_artery_occlusion,nan,-,5.0
Blood_bicarbonate_decreased,nan,-,2.0
Ejaculation_failure,0.655743,-,13.0
Tongue_geographic,nan,-,1.0
Retinal_degeneration,nan,-,4.0
Glossitis,0.799889,-,112.0
Eclampsia,nan,-,3.0
Retinal_disorder,0.673297,-,31.0
Systolic_murmur,nan,-,
Bone_density_decreased,nan,-,3.0
Hemimelia,nan,-,
Bladder_stenosis,nan,-,1.0
Thyroid_carcinoma,nan,-,
Meningitis_bacterial,nan,-,3.0
Meningitis_cryptococcal,nan,-,1.0
Skin_melanoma,nan,-,
Injection_site_mass,nan,-,1.0
Manic_psychosis,nan,-,
Bone_marrow_depression,nan,-,
Lipase_increased,0.56689,-,11.0
Osteopenia,0.391621,-,12.0
Gastrointestinal_malformation,nan,-,1.0
Ejection_fraction_decreased,nan,-,3.0
Osteoporosis,0.850289,-,80.0
Clostridium_colitis,nan,-,0.0
Intervertebral_disc_degeneration,nan,-,1.0
Major_depression,0.4936,-,18.0
Pemphigus,0.493156,-,16.0
Dermal_cyst,nan,-,6.0
Pemphigoid,0.39098,-,15.0
Nipple_pain,nan,-,4.0
Nasal_discharge,nan,-,
Schizophrenic_reaction,nan,-,
Leukaemia,0.683816,-,39.0
Pericarditis_constrictive,nan,-,3.0
Tongue_ulceration,nan,-,9.0
Pulmonary_toxicity,0.77141,-,20.0
Tooth_hypoplasia,nan,-,5.0
Cluster_headache,nan,-,1.0
Inner_ear_disorder,nan,-,10.0
Breath_sounds_abnormal,0.485655,-,12.0
Post_transplant_lymphoproliferative_disorder,nan,-,6.0
Platelet_aggregation_decreased,nan,-,1.0
Pyridoxine_deficiency,nan,-,
Pericarditis,0.814527,-,54.0
Cataplexy,nan,-,1.0
Phantom_pain,nan,-,0.0
Testosterone_increased,nan,-,
Haemoglobinaemia,nan,-,2.0
Pelvic_neoplasm,nan,-,1.0
Pelvic_infection,nan,-,1.0
Disorientation,0.836875,-,80.0
Pelvic_pain,0.817519,-,64.0
Speech_loss,nan,-,
Pulmonary_hypertension,0.475964,-,24.0
Diuresis,nan,-,
Malignant_hypertension,nan,-,0.0
Portal_hypertension,nan,-,3.0
Hypertensive_crisis,0.451288,-,16.0
Torsade_de_pointes,0.795548,-,51.0
Renovascular_hypertension,nan,-,1.0
Vaginal_cyst,nan,-,4.0
Intestinal_necrosis,nan,-,
Influenza-like_symptoms,nan,-,
Perineal_pain,0.588065,-,13.0
Middle_insomnia,nan,-,8.0
X-linked_ichthyosis,nan,-,
Fat_embolism,0.917992,0.9677,15.0
Myoclonus,0.786052,-,55.0
Bundle_branch_block,0.689838,-,53.0
Vaginitis_ulcerative,nan,-,
Bunion,nan,-,0.0
Migraine,0.760115,-,148.0
Hepatitis_chronic_active,nan,-,10.0
Vocal_tic,nan,-,
Gastric_irritation,nan,-,
Macule,nan,-,7.0
Redness,nan,-,
Gagging,nan,-,
Lividity,nan,-,4.0
Sensation_of_foreign_body,0.683326,-,30.0
Nocturnal_dyspnoea,nan,-,1.0
Infrequent_bowel_movements,nan,-,1.0
Alveolitis,0.498553,-,16.0
Oropharyngeal_pain,0.810037,-,70.0
Paronychia,nan,-,6.0
Cerebrospinal_fluid_rhinorrhoea,nan,-,
Alveolar_proteinosis,nan,-,7.0
Respiratory_failure,0.794469,-,57.0
Vaginitis_atrophic,nan,-,
Neck_mass,nan,-,1.0
Splinter_haemorrhages,nan,-,2.0
Injection_site_urticaria,nan,-,0.0
Somatoform_disorder,nan,-,1.0
Erythropenia,nan,-,4.0
Pyogenic_granuloma,nan,-,3.0
Pyoderma_gangrenosum,nan,-,1.0
Purpura_fulminans,nan,-,1.0
Lipohypertrophy,nan,-,7.0
Thyroid_nodule,nan,-,
Polymyositis,nan,-,3.0
Injection_site_granuloma,nan,-,0.0
Odynophagia,nan,-,5.0
Obstipation,nan,-,
Rash_maculo-papular,0.745005,-,111.0
Systolic_hypertension,nan,-,2.0
Suspiciousness,nan,-,1.0
Multifocal_atrial_tachycardia,nan,-,
Total_lung_capacity,nan,-,0.0
Increased_tendency_to_bruise,0.443706,-,12.0
Abnormal_behaviour,nan,-,9.0
Perceptual_distortions,nan,-,
Metastasis,nan,-,9.0
Eye_discharge,nan,-,7.0
Clostridial_infection,nan,-,1.0
Hyperostosis,nan,-,
Fat_redistribution,0.340742,-,12.0
Superficial_thrombophlebitis_of_leg,nan,-,
Senile_ankylosing_vertebral_hyperostosis,nan,-,1.0
Type_2_diabetes_mellitus,nan,-,5.0
Serum_lactic_dehydrogenase_increased,nan,-,
Peroneal_nerve_palsy,nan,-,9.0
Congenital_cardiovascular_anomaly,nan,-,3.0
Burn_local,nan,-,
Therapeutic_response_decreased,nan,-,3.0
Sulphobromophthalein_retention,nan,-,
Therapeutic_response_increased,nan,-,1.0
Consciousness_abnormal,nan,-,
