ADR name,Binary Logistic Regression Mean AUC,Web Mean AUC,Positive Count
Haemorrhagic_stroke,0.818371156302,nan,10.0
Pulseless_electrical_activity,0.818167745431,nan,3.0
Blood_uric_acid_increased,0.817432308791,0.527242,18.0
Amyotrophic_lateral_sclerosis,0.81651331766,nan,4.0
Soft_tissue_disorder,0.814885496183,nan,5.0
Athetosis,0.814515426813,nan,3.0
Epidermolysis_bullosa,0.814070376068,nan,4.0
Schizophrenia,0.813867200728,nan,4.0
Graft_loss,0.813563013563,0.532361,12.0
Endometritis,0.812977099237,nan,5.0
Subileus,0.809750481332,nan,4.0
Pseudolymphoma,0.807559090161,nan,4.0
Tooth_impacted,0.807327410131,0.505159,24.0
Retinal_vein_occlusion,0.806564593022,nan,6.0
Organising_pneumonia,0.805236270754,nan,8.0
Sinus_arrest,0.804909560724,0.603346,17.0
Immobile,0.804816223067,nan,3.0
Dental_plaque,0.803754399306,nan,6.0
Onychomycosis,0.801497470094,nan,7.0
Eczema_infected,0.799727164543,nan,3.0
Bone_density_decreased,0.799727164543,nan,3.0
Prostatic_adenoma,0.798043711723,nan,3.0
Plantar_fasciitis,0.797487398291,nan,4.0
Calculus_bladder,0.79721166033,nan,3.0
Balanoposthitis,0.796379164108,nan,6.0
Blindness_transient,0.796083439762,nan,8.0
Dysphemia,0.79533844189,nan,6.0
Burkitt's_lymphoma,0.794529262087,nan,5.0
Nail-patella_syndrome,0.794415580646,nan,3.0
Nephrosclerosis,0.794415580646,nan,3.0
Pyoderma,0.79374201788,nan,8.0
Tinea_infection,0.79262086514,nan,5.0
Bladder_dysfunction,0.792252022137,nan,8.0
Cancer_in_remission,0.790829158071,nan,10.0
Conjunctivitis_allergic,0.790763262028,nan,3.0
Eyelids_pruritus,0.790763262028,nan,3.0
Leukoplakia,0.790466302048,nan,6.0
Red_blood_cell_abnormality,0.789871603638,nan,7.0
Lymphocytic_leukaemia,0.788420604513,nan,8.0
Haematological_malignancy,0.7868956743,nan,5.0
Suicidal_behaviour,0.785359765478,nan,4.0
Obliterative_bronchiolitis,0.78417821004,nan,10.0
Nuchal_rigidity,0.783323174566,nan,4.0
Small_intestinal_obstruction,0.783078880407,nan,5.0
Extradural_abscess,0.783047436604,nan,3.0
Pharyngeal_disorder,0.780534351145,nan,5.0
Exophthalmos,0.779717976429,0.793608,27.0
Hypochloraemia,0.777457264957,0.576575,11.0
Joint_crepitation,0.776778026103,nan,3.0
Hypopnoea,0.774112559139,nan,3.0
Oedema_genital,0.773931736422,nan,7.0
Varicella,0.770522682151,0.514865,16.0
Peripheral_motor_neuropathy,0.76981694338,nan,9.0
Stillbirth,0.767134951043,nan,8.0
Mucosal_ulceration,0.764631043257,nan,5.0
Umbilical_cord_compression,0.764239205101,nan,3.0
Spinal_cord_compression,0.764239205101,nan,3.0
Pressure_of_speech,0.76352809141,nan,3.0
Pulmonary_toxicity,0.763479710951,0.77141,20.0
Parotitis,0.762877820349,nan,8.0
Pregnancy_test_false_positive,0.762357053026,nan,6.0
Depressive_symptom,0.761935402104,nan,6.0
Bladder_irritation,0.761450381679,nan,5.0
Lung_infection,0.760934276452,nan,10.0
Pulmonary_infarction,0.75911628402,nan,3.0
Quadriplegia,0.757937911386,nan,9.0
Muscle_fatigue,0.757553768903,nan,3.0
Optic_atrophy,0.756473616474,0.651973,13.0
Monocyte_count_increased,0.75628634178,nan,3.0
High_density_lipoprotein_decreased,0.754940383922,nan,7.0
Bronchopneumonia,0.753507258245,nan,6.0
Second_primary_malignancy,0.753338822508,0.836513,24.0
Neutropenic_sepsis,0.753020925435,nan,10.0
Blood_culture_positive,0.752411497789,nan,3.0
Drug_hypersensitivity,0.751655642353,0.359816,16.0
Bladder_pain,0.750106837607,0.476799,11.0
Odynophagia,0.75,nan,5.0
Pregnancy_test_positive,0.74994881694,nan,7.0
Ovarian_disorder,0.749698535745,0.510639,17.0
Chapped_lips,0.748566874324,nan,6.0
Inguinal_hernia,0.747938053874,nan,6.0
Nail_discolouration,0.747339293316,nan,8.0
Testicular_atrophy,0.74718005713,nan,7.0
Hypertrophic_cardiomyopathy,0.745837199326,0.875427,16.0
Adrenal_disorder,0.744964561824,nan,6.0
Myelofibrosis,0.744910941476,nan,5.0
Colon_cancer,0.744157819309,nan,7.0
Muscle_mass,0.743381739855,0.934488,21.0
Skin_test_positive,0.743381739855,0.929211,21.0
Alkalosis_hypokalaemic,0.743381739855,0.943541,21.0
Cholecystitis_acute,0.743263769967,nan,3.0
Cervix_disorder,0.743012219545,nan,3.0
Febrile_neutropenia,0.742783190009,0.849944,70.0
Sick_sinus_syndrome,0.74159216688,nan,8.0
Acute_abdomen,0.740315027671,nan,8.0
Virilism,0.739821882952,nan,5.0
Peliosis_hepatis,0.737852441301,nan,10.0
Motion_sickness,0.737733126651,nan,7.0
Glomerulosclerosis,0.736899573962,nan,6.0
Chronic_allograft_nephropathy,0.736899573962,nan,6.0
Post_transplant_lymphoproliferative_disorder,0.736899573962,nan,6.0
Hepatic_artery_thrombosis,0.736899573962,nan,6.0
Focal_segmental_glomerulosclerosis,0.736899573962,nan,6.0
Growth_retardation,0.736665359595,0.759232,18.0
Fat_embolism,0.736586752866,0.917992,15.0
Encephalitis,0.736570390019,nan,10.0
Bronchiolitis,0.736538461538,0.484195,11.0
Testicular_pain,0.736486985324,0.644025,15.0
Blood_cholesterol_increased,0.736374627976,0.497024,23.0
Conjunctival_haemorrhage,0.736078771786,0.584508,25.0
Arterial_spasm,0.735619997465,nan,6.0
Gastrointestinal_oedema,0.735368956743,nan,5.0
Phlebosclerosis,0.734749755706,nan,4.0
Mucosal_inflammation,0.734195085651,0.86692,48.0
Facial_paresis,0.733587123817,nan,9.0
Compression_fracture,0.73305771725,0.914266,22.0
Metastases_to_liver,0.733051790362,nan,4.0
Blindness_cortical,0.732933407738,0.763283,23.0
Lymphoproliferative_disorder,0.731865104501,0.777625,19.0
Anaemia_macrocytic,0.731610657775,nan,7.0
Epidermolysis,0.730916030534,nan,5.0
Wound_infection,0.730501930502,0.457147,14.0
Oral_disorder,0.730086130086,0.54543,13.0
Varices_oesophageal,0.728538395302,nan,4.0
Varicose_vein,0.727295541525,0.555871,33.0
Bladder_disorder,0.725190839695,nan,5.0
Intraocular_pressure_increased,0.725014343087,0.767552,44.0
Cushing's_syndrome,0.724978962479,0.987378,12.0
Capillary_permeability,0.724968314322,nan,3.0
Large_intestine_perforation,0.724968314322,nan,3.0
Liver_function_test_normal,0.724968314322,nan,3.0
Vascular_insufficiency,0.724571768399,nan,6.0
Blood_glucose_decreased,0.722620784695,0.497563,21.0
Sexually_active,0.722433460076,nan,3.0
Hand_and_foot_syndrome_secondary_to_sickle_cell_anaemia,0.722309964611,nan,7.0
Abscess_sterile,0.721310346892,0.850144,16.0
Parkinsonian_gait,0.721035420234,nan,3.0
Necrotising_fasciitis,0.720672607127,nan,4.0
Cardiac_tamponade,0.720672106695,nan,7.0
Hemianopia,0.71991654724,nan,7.0
Ophthalmoplegia,0.719551282051,0.537942,11.0
Hypopituitarism,0.719465648855,nan,5.0
Myocardial_rupture,0.719083096696,0.929168,19.0
Gangrene,0.718162393162,0.527778,11.0
Hydrocephalus,0.717841880342,0.469934,11.0
Tachyarrhythmia,0.717735042735,0.582961,11.0
Nitrogen_balance_negative,0.717075163399,0.904662,24.0
Neoplasm_prostate,0.716921119593,nan,5.0
Porphyria,0.716865808824,0.543857,25.0
Oestrogen_deficiency,0.715883474105,nan,3.0
Retinal_vein_thrombosis,0.714988349761,nan,7.0
Electrolyte_imbalance,0.713529386363,0.683175,45.0
Atrioventricular_block_second_degree,0.713390155024,0.745549,19.0
Lip_dry,0.712309657137,nan,10.0
Low_density_lipoprotein_increased,0.711832061069,nan,5.0
Respiratory_paralysis,0.711832061069,nan,5.0
Grimacing,0.711660329531,nan,3.0
Nodal_arrhythmia,0.71150999901,0.557815,12.0
Injection_site_haemorrhage,0.711132561133,0.547244,14.0
Benign_intracranial_hypertension,0.711050771274,0.853533,39.0
Renal_papillary_necrosis,0.710302256279,nan,8.0
Ketosis,0.710158168779,nan,10.0
Abnormal_behaviour,0.709630939516,nan,9.0
Mass,0.708905463122,0.798029,44.0
Rash_macular,0.708547008547,0.701469,11.0
Paraparesis,0.707423702773,0.829597,15.0
Ulcer_haemorrhage,0.706879490704,nan,6.0
Dermatitis_diaper,0.706697046218,nan,4.0
Necrosis_ischaemic,0.705470737913,nan,5.0
Salmonellosis,0.704785859827,nan,7.0
Swollen_tongue,0.704730976824,0.473116,16.0
Breast_discharge,0.704337361234,nan,10.0
Extravasation,0.702930623208,0.799553,70.0
Mental_retardation,0.701985313325,nan,3.0
Cardiomegaly,0.701838177081,0.829658,45.0
Respiratory_rate_decreased,0.701753872852,nan,6.0
Motor_dysfunction,0.701017811705,nan,5.0
Feeling_cold,0.700494742079,0.689614,28.0
Cor_pulmonale,0.700408285684,nan,3.0
Telangiectasia,0.700327342351,0.8445,20.0
Hypercapnia,0.699764897106,nan,4.0
Muscle_atrophy,0.699420849421,0.602179,14.0
Cogwheel_rigidity,0.698604098604,0.424206,13.0
Papule,0.69764957265,0.48659,11.0
Torticollis,0.696083327543,0.527924,21.0
Red_blood_cell_count_decreased,0.695867308511,nan,9.0
Skin_cancer,0.695021501296,0.625588,36.0
Amyloidosis,0.694496850782,nan,3.0
Skin_warm,0.694293675442,nan,3.0
Application_site_atrophy,0.694293675442,nan,3.0
Asteatosis,0.694293675442,nan,3.0
Corneal_infection,0.69367816092,nan,10.0
Tumour_invasion,0.69367816092,nan,10.0
Osteochondrosis,0.693210073627,nan,3.0
Pericardial_effusion,0.693032967033,0.791205,41.0
Lipoatrophy,0.692926013668,nan,6.0
Hepatitis_chronic_active,0.692489439041,nan,10.0
Bladder_spasm,0.692307692308,0.819444,11.0
Blood_sodium_increased,0.691207387759,nan,10.0
Hydronephrosis,0.691173735119,0.698224,23.0
Lymphocele,0.691141918439,nan,7.0
Mycobacterial_infection,0.691141918439,nan,7.0
Bundle_branch_block_left,0.690999332424,nan,4.0
Change_of_bowel_habit,0.690888069738,nan,4.0
Hyperprolactinaemia,0.690654608096,0.497919,17.0
Elderly,0.690260757081,0.569203,25.0
Ingrowing_nail,0.690186631063,nan,4.0
Ketoacidosis,0.690170940171,nan,10.0
Sluggishness,0.689357173265,nan,9.0
Hypovitaminosis,0.6893383249,nan,6.0
Faecal_incontinence,0.689252747253,0.670771,41.0
Acute_pulmonary_oedema,0.688955670596,nan,6.0
Light_anaesthesia,0.688062965005,nan,3.0
Hypotrichosis,0.687448601476,nan,3.0
Left_ventricular_failure,0.68741473892,nan,4.0
Panic_disorder,0.687344622854,nan,6.0
Pharyngitis_streptococcal,0.686803544792,nan,6.0
Pulmonary_arterial_hypertension,0.686664925164,nan,3.0
Lens_disorder,0.68665577342,0.69354,26.0
Eosinophil_count_increased,0.686642683747,nan,6.0
Acute_tonsillitis,0.686485937364,nan,3.0
Infusion_site_reaction,0.686386768448,nan,5.0
Cranial_nerve_paralysis,0.684151774834,nan,6.0
Pancreatitis_haemorrhagic,0.683912483912,0.475192,14.0
Coma_hepatic,0.683653846154,0.686196,11.0
Idiopathic_pulmonary_fibrosis,0.683588761175,nan,6.0
Carbohydrate_tolerance_decreased,0.6832470451,0.88833,28.0
Cataract_subcapsular,0.682974451401,0.925682,36.0
Crocodile_tears_syndrome,0.68285960379,0.546225,17.0
Acute_psychosis,0.682342731768,nan,9.0
Eyelid_disorder,0.680661577608,nan,5.0
Myocarditis,0.679947337641,0.537633,21.0
Breast_engorgement,0.679943817444,0.437322,12.0
Testicular_swelling,0.679703310738,nan,10.0
Aortic_aneurysm,0.678753180662,nan,5.0
Hypomania,0.678691648459,0.535803,15.0
Blood_glucose_increased,0.677769761103,0.689648,35.0
Increased_tendency_to_bruise,0.677414364914,0.443706,12.0
Ileus_paralytic,0.677217307652,0.854463,34.0
Oesophagitis_ulcerative,0.677178649237,0.92532,26.0
Hair_texture_abnormal,0.676159905628,nan,6.0
Hyporeflexia,0.675459659649,0.62143,33.0
Hepatic_fibrosis,0.674551804874,nan,4.0
Respiration_abnormal,0.674414807015,nan,6.0
Sticky_skin,0.674387603602,0.537867,18.0
Skin_striae,0.673765567766,0.948941,41.0
Azoospermia,0.673655244675,0.669932,30.0
Breast_mass,0.673417955992,nan,7.0
Hyperadrenocorticism,0.672414981618,0.905614,24.0
Rash_pustular,0.672409409065,0.76564,43.0
Lymphoedema,0.672407747821,0.621039,25.0
Skin_lesion,0.671146421146,0.507052,12.0
Calcinosis,0.670973631439,0.808091,15.0
Scab,0.670743005373,0.473545,20.0
Pruritus_generalised,0.670527670528,0.516442,14.0
Pain_of_skin,0.670514457871,nan,9.0
Gastrointestinal_tract_irritation,0.670347096767,0.467377,21.0
Hirsutism,0.670140565152,0.882682,79.0
Breast_enlargement,0.669522822679,0.81627,53.0
Urine_output,0.669348703023,0.572946,24.0
Neutropenic_infection,0.66900318308,nan,4.0
Infertility,0.668752953478,0.448177,18.0
Nasal_discomfort,0.668742899084,0.774592,19.0
Lung_neoplasm_malignant,0.667562225928,0.292067,20.0
Hordeolum,0.66688034188,0.352703,11.0
Cholangitis_sclerosing,0.666666666667,nan,5.0
Disability,0.665993712545,nan,10.0
Dermatitis_atopic,0.665905200585,0.602455,30.0
Gastric_haemorrhage,0.663778479717,nan,6.0
Osteopenia,0.662853925354,0.391621,12.0
Bone_marrow_failure,0.661958252475,0.814863,97.0
Sarcoma,0.66155319776,nan,9.0
Eustachian_tube_disorder,0.661229307559,nan,4.0
Cardio-respiratory_arrest,0.661197243755,0.527456,17.0
Fluid_overload,0.661076224317,0.642104,33.0
Ichthyosis,0.660807653558,0.776738,21.0
Peroneal_nerve_palsy,0.66074270557,nan,9.0
Malignant_melanoma,0.660566448802,0.59654,25.0
Hypernatraemia,0.660453973821,0.806804,53.0
Withdrawal_syndrome,0.660425177015,0.709148,25.0
Facial_pain,0.660305343511,nan,5.0
Arrhythmia_supraventricular,0.660216323884,0.582906,21.0
Corneal_deposits,0.659865359865,0.540287,12.0
Optic_ischaemic_neuropathy,0.659786488522,nan,9.0
Progressive_multifocal_leukoencephalopathy,0.659743796953,0.743711,16.0
Neutropenic_colitis,0.658884304287,nan,9.0
Abdominal_mass,0.658815391016,nan,4.0
Osteonecrosis,0.658220182317,0.792867,44.0
Dependence,0.658182601206,0.84112,17.0
Ectopic_pregnancy,0.658176839946,nan,4.0
Hypoproteinaemia,0.657467960235,0.673574,32.0
Squamous_cell_carcinoma,0.657464023223,0.424372,20.0
Venous_insufficiency,0.657436701206,nan,4.0
Status_epilepticus,0.657408919909,0.617333,12.0
Iron_deficiency,0.656845856846,0.415064,13.0
Iron_deficiency_anaemia,0.656845856846,0.529857,13.0
Coombs_test_positive,0.656235071608,nan,6.0
Tumour_lysis_syndrome,0.656136125008,0.742971,20.0
White_blood_cells_urine_positive,0.655852417303,nan,5.0
Spine_malformation,0.65497924709,nan,4.0
Deafness_transitory,0.654548708869,nan,3.0
Vaginal_infection,0.653973867767,nan,10.0
Reticulocytosis,0.653944020356,nan,5.0
Congenital_cardiovascular_anomaly,0.652536305498,nan,3.0
Injection_site_infection,0.652485509382,nan,10.0
Blepharospasm,0.652432927433,0.553394,12.0
Atrioventricular_block_complete,0.651610211243,0.767858,18.0
Acute_myeloid_leukaemia,0.650757734479,0.86328,16.0
Menstruation_irregular,0.650457247371,0.838869,62.0
Eclampsia,0.650117551447,nan,3.0
Drooling,0.649786324786,0.406609,11.0
Osteoporotic_fracture,0.649679487179,0.44503,11.0
Sepsis,0.649501424501,0.792624,117.0
Dyschezia,0.648854961832,nan,5.0
Nasal_dryness,0.648357160228,0.586772,22.0
Peripheral_sensory_neuropathy,0.648079682511,0.672575,19.0
Retinal_vascular_disorder,0.64790685658,nan,6.0
Septic_shock,0.647552717553,0.672001,13.0
Cytomegalovirus_infection,0.645867983368,0.414691,12.0
Bacteraemia,0.645381013197,nan,8.0
Deficiency_anaemia,0.645294463899,0.485867,15.0
Abscess,0.645247886355,0.756335,99.0
Tearfulness,0.645140534059,nan,7.0
Renal_failure_chronic,0.644521582022,0.468844,12.0
Phaeochromocytoma,0.644038879627,nan,6.0
Ocular_hyperaemia,0.64400147656,0.544758,16.0
Hormone_level_abnormal,0.64295608606,nan,9.0
Skin_toxicity,0.642330615319,nan,9.0
Respiratory_alkalosis,0.642324325893,nan,4.0
Scrotal_oedema,0.642261530634,0.422678,16.0
Neurological_symptom,0.642254232254,0.607048,13.0
Sinus_disorder,0.642050052158,nan,6.0
Antisocial_behaviour,0.641923313153,nan,6.0
Sneezing,0.639935886141,0.73954,51.0
Vitreous_detachment,0.639319126819,0.637458,12.0
Abnormal_sensation_in_eye,0.639227821986,nan,10.0
Lacrimal_disorder,0.638611840187,0.434938,27.0
Amenorrhoea,0.638515406162,0.807388,77.0
Neoplasm_skin,0.638392857143,0.567978,23.0
Hypoxia,0.638262668526,0.811818,73.0
Personality_change,0.638184870302,0.669278,24.0
Myeloid_leukaemia,0.637824918523,0.508547,19.0
Speech_disorder,0.637668050181,0.823249,81.0
Onycholysis,0.637622753382,0.454873,21.0
Nasal_oedema,0.637404580153,nan,5.0
Ascites,0.636796363445,0.785647,49.0
Retinal_degeneration,0.636746679051,nan,4.0
Pulmonary_fibrosis,0.635913172857,0.739711,53.0
Neoplasm,0.63576933618,0.768188,127.0
Pulmonary_congestion,0.63568516386,0.589168,31.0
Breast_disorder_male,0.635140339076,nan,6.0
Methaemoglobinaemia,0.635140123512,0.585314,15.0
Electrocardiogram_change,0.634386347131,0.57109,26.0
Asphyxia,0.634323334323,0.535025,12.0
Mitral_valve_incompetence,0.634099616858,nan,8.0
Diaphragmatic_hernia,0.634023724721,0.510857,15.0
Duodenal_ulcer_perforation,0.63353457367,nan,3.0
Adrenal_insufficiency,0.633435403908,0.746086,29.0
Alkalosis,0.633402490972,0.788473,37.0
Genital_candidiasis,0.633397683398,0.578494,14.0
Hemiparesis,0.633069947023,0.417832,16.0
Vascular_anomaly,0.632252152126,nan,7.0
Prostate_cancer,0.631869535318,nan,10.0
Somnambulism,0.631196581197,0.50878,11.0
Gastric_cancer,0.630741033215,nan,7.0
Diverticulum,0.629800017415,nan,4.0
Osteoporosis,0.62966168592,0.850289,80.0
Leukoderma,0.629540383757,0.850695,44.0
Fluid_retention,0.629521008237,0.78288,66.0
Diabetic_coma,0.629427529291,nan,3.0
Corneal_opacity,0.629112833764,0.530695,17.0
Polyarthritis,0.629083676991,nan,6.0
Stupor,0.628868277251,0.777492,59.0
Choking_sensation,0.628363277508,nan,4.0
Nasal_septum_perforation,0.628015723365,0.873243,15.0
Sulphaemoglobinaemia,0.627840826633,nan,3.0
Pancreatitis_acute,0.627531044785,0.478856,31.0
Oropharyngeal_candidiasis,0.627528686886,nan,6.0
Vitreous_disorder,0.626704883351,nan,7.0
Paresis,0.626587277265,0.739414,40.0
Cardiac_murmur,0.626523659665,0.570182,18.0
Hyperphosphataemia,0.625678040245,0.736761,29.0
Cerebellar_syndrome,0.625,0.577214,11.0
Duodenal_ulcer,0.624447441005,0.62475,39.0
Hypotonia,0.624430122926,0.806582,56.0
Eye_oedema,0.624045801527,nan,5.0
Skin_necrosis,0.623957421989,0.66037,29.0
Tooth_disorder,0.623404698651,0.76986,80.0
Herpes_zoster,0.623391583183,0.812743,78.0
Xanthopsia,0.623294723295,0.841923,14.0
Bradykinesia,0.62323037323,0.542019,14.0
Mucous_membrane_disorder,0.622993058764,0.736312,33.0
Skin_hyperpigmentation,0.622908237497,0.844064,52.0
Infection_susceptibility_increased,0.622391842392,0.527007,13.0
Skin_hypertrophy,0.622355705384,0.70143,39.0
Hostility,0.622102564103,0.755235,41.0
Retinitis_pigmentosa,0.621847563172,0.483026,28.0
Essential_hypertension,0.621813291537,nan,3.0
Menometrorrhagia,0.621722828045,nan,9.0
Diverticulitis,0.621677118075,0.69217,22.0
Sinus_tachycardia,0.621638961796,0.754896,29.0
Cellulitis,0.621474123822,0.801936,87.0
Dementia,0.621396508443,0.522352,27.0
Salpingitis,0.62135036135,0.427578,13.0
Sexual_dysfunction,0.621337419553,0.608202,40.0
Sleep_apnoea_syndrome,0.620833333333,0.620956,11.0
Salivary_gland_enlargement,0.620807856216,0.468869,20.0
Hepatosplenomegaly,0.620405982906,0.579502,11.0
Acute_respiratory_distress_syndrome,0.62001097902,0.673929,27.0
Drug_withdrawal_syndrome,0.619490644491,0.512424,12.0
Gingivitis,0.61937953424,0.82793,75.0
Haemangioma,0.619140714543,nan,9.0
Dermatitis_acneiform,0.619047619048,0.957548,34.0
Herpes_simplex,0.619017638088,0.793317,109.0
Antidiuretic_hormone_abnormality,0.618956743003,nan,5.0
Joint_effusion,0.617730434698,nan,4.0
Incontinence,0.617725844935,0.770696,143.0
Transplant_rejection,0.617709663687,nan,8.0
Angle_closure_glaucoma,0.617684478372,nan,5.0
Aortic_valve_stenosis,0.6176357326,nan,6.0
Conduction_disorder,0.617312661499,0.483719,17.0
Cervical_dysplasia,0.617048346056,nan,5.0
Oral_pain,0.616731016731,0.569968,14.0
Myelodysplastic_syndrome,0.616567774517,0.708405,19.0
Chest_discomfort,0.615922735451,0.79907,64.0
Cardiomyopathy,0.615881004615,0.778035,54.0
Prostatitis,0.615758340758,0.444046,12.0
Granuloma,0.615384615385,nan,9.0
Cyst,0.614372384937,0.803075,74.0
Breast_cancer,0.614147426647,0.773092,35.0
Cushingoid,0.613894371233,0.870991,39.0
Bipolar_disorder,0.613867684478,nan,5.0
Infection_parasitic,0.613867684478,nan,5.0
Hypercalciuria,0.613297358954,nan,6.0
Eye_infection,0.61312335958,0.721663,29.0
Glaucoma,0.612583989289,0.83354,85.0
Flank_pain,0.612483642533,0.484732,22.0
Eye_inflammation,0.612457019354,nan,9.0
Hypochromic_anaemia,0.612145773168,0.601477,36.0
Gravitational_oedema,0.612134145728,0.585569,18.0
Sleep_talking,0.612036687661,nan,4.0
Epididymitis,0.611131535948,0.503489,24.0
Libido_increased,0.611018119985,0.821554,53.0
Psychiatric_symptom,0.610546222615,nan,9.0
Micturition_urgency,0.610529228669,0.704278,49.0
Cerumen_impaction,0.61020327209,nan,4.0
Nodular_regenerative_hyperplasia,0.610145221993,nan,4.0
Feeling_jittery,0.610097267253,0.528997,27.0
Disturbance_in_attention,0.610072544643,0.483648,23.0
Aphthous_stomatitis,0.609638369599,0.588828,38.0
Uterine_haemorrhage,0.609563544346,0.567127,34.0
Cancer_pain,0.60941475827,nan,5.0
Neuroleptic_malignant_syndrome,0.609249569707,0.834081,42.0
Alveolar_proteinosis,0.608907802248,nan,7.0
Lupus_miliaris_disseminatus_faciei,0.607956659226,0.946706,23.0
Hyperventilation,0.607938893063,0.842202,65.0
Application_site_oedema,0.607842568136,nan,3.0
Eye_swelling,0.6077659888,nan,10.0
Hyperuricaemia,0.60700333903,0.798165,108.0
Sudden_death,0.606914628827,0.728681,37.0
Haematocrit_increased,0.606641123883,nan,8.0
Hypothyroidism,0.606276346604,0.730942,58.0
Mental_disability,0.606246520614,nan,9.0
Aspiration,0.605682786384,0.411993,27.0
Cholangitis,0.605675992836,0.480959,20.0
Arteritis,0.605468775584,nan,9.0
