ADR name,OVR Logistic Regression Mean AUC,Web Mean AUC,Positive Count
Benign_intracranial_hypertension,0.699236886312,0.853533,39.0
Torticollis,0.697735313057,0.527924,21.0
Myocardial_rupture,0.695943464799,0.929168,19.0
Dependence,0.695389999327,0.84112,17.0
Elderly,0.68937036186,0.569203,25.0
Extravasation,0.687772951342,0.799553,70.0
Intraocular_pressure_increased,0.686908946977,0.767552,44.0
Bladder_pain,0.686771536915,0.476799,11.0
Lens_disorder,0.68665577342,0.69354,26.0
Squamous_cell_carcinoma,0.68476660463,0.424372,20.0
Lymphoedema,0.683798301375,0.621039,25.0
Malignant_melanoma,0.681463508922,0.59654,25.0
Optic_atrophy,0.68034038832,0.651973,13.0
Ascites,0.680306672842,0.785647,49.0
Hyperadrenocorticism,0.679953468656,0.905614,24.0
Cardiomegaly,0.67902750796,0.829658,45.0
Conjunctival_haemorrhage,0.677666556635,0.584508,25.0
Acute_respiratory_distress_syndrome,0.675792007151,0.673929,27.0
Atrioventricular_block_first_degree,0.675099387094,0.616356,20.0
Ileus_paralytic,0.67481884058,0.854463,34.0
Lung_neoplasm_malignant,0.674290237471,0.292067,20.0
Growth_retardation,0.673797280526,0.759232,18.0
Breast_enlargement,0.671989946014,0.81627,53.0
Hyporeflexia,0.671942755556,0.62143,33.0
Onycholysis,0.671692833303,0.454873,21.0
Fluid_retention,0.671443850006,0.78288,66.0
Skin_striae,0.670659463901,0.948941,41.0
Infertility,0.670296238485,0.448177,18.0
Hirsutism,0.670192586253,0.882682,79.0
Mucous_membrane_disorder,0.669852514892,0.736312,33.0
Corneal_deposits,0.66921963172,0.540287,12.0
Cataract_subcapsular,0.667069805055,0.925682,36.0
Increased_tendency_to_bruise,0.666646409122,0.443706,12.0
Leukoderma,0.666506533681,0.850695,44.0
Gastrointestinal_tract_irritation,0.666091978102,0.467377,21.0
Septic_shock,0.665685328185,0.672001,13.0
Hyperphosphataemia,0.665286127421,0.736761,29.0
Dermatitis_atopic,0.664335578524,0.602455,30.0
Nasal_septum_perforation,0.663148670542,0.873243,15.0
Neoplasm_skin,0.663013450774,0.567978,23.0
Subarachnoid_haemorrhage,0.661385171499,0.406018,13.0
Tachyarrhythmia,0.661363321133,0.582961,11.0
Fluid_overload,0.661076224317,0.642104,33.0
Sepsis,0.660267212548,0.792624,117.0
Bradykinesia,0.659971821134,0.542019,14.0
Nasal_discomfort,0.659586505854,0.774592,19.0
Blood_glucose_increased,0.658829479613,0.689648,35.0
Skin_lesion,0.658460184322,0.507052,12.0
Angina_unstable,0.65840246355,0.564607,17.0
Hypoproteinaemia,0.657771454595,0.673574,32.0
Hordeolum,0.657267272641,0.352703,11.0
Cleft_palate,0.65683535468,0.830885,11.0
Iron_deficiency,0.656744381744,0.415064,13.0
Iron_deficiency_anaemia,0.656744381744,0.529857,13.0
Cardiogenic_shock,0.656252917058,0.48675,11.0
Dizziness_postural,0.655572483914,0.400643,17.0
Azoospermia,0.655336944719,0.669932,30.0
Personality_change,0.654752926812,0.669278,24.0
Alkalosis,0.654521196946,0.788473,37.0
Osteonecrosis,0.654211787872,0.792867,44.0
Blepharospasm,0.653840954468,0.553394,12.0
Acute_myeloid_leukaemia,0.650394580627,0.86328,16.0
Feeling_cold,0.650358260096,0.689614,28.0
Hypomania,0.649464747139,0.535803,15.0
Diaphragmatic_hernia,0.649145801529,0.510857,15.0
Multi-organ_failure,0.649025645878,0.549519,12.0
Methaemoglobinaemia,0.648951110579,0.585314,15.0
Dyspnoea_exertional,0.648682596712,0.449393,12.0
Sleep_apnoea_syndrome,0.64604883398,0.620956,11.0
Pain_in_jaw,0.645842547357,0.687012,25.0
Rash_pustular,0.643344099599,0.76564,43.0
Skin_hypertrophy,0.642996969484,0.70143,39.0
Sinus_tachycardia,0.642141637004,0.754896,29.0
Conduction_disorder,0.641970518679,0.483719,17.0
Dermatitis_acneiform,0.641821126209,0.957548,34.0
Salivary_gland_enlargement,0.641142176786,0.468869,20.0
Cardiomyopathy,0.641136394518,0.778035,54.0
Atrioventricular_block_complete,0.641103206092,0.767858,18.0
Dyspareunia,0.640523829477,0.39735,11.0
Gangrene,0.640061352439,0.527778,11.0
Bone_marrow_failure,0.639851499193,0.814863,97.0
Progressive_multifocal_leukoencephalopathy,0.639660672345,0.743711,16.0
Scrotal_oedema,0.639158479558,0.422678,16.0
Intestinal_perforation,0.638692143211,0.456141,21.0
Blood_glucose_decreased,0.638060050532,0.497563,21.0
Deafness,0.637790748077,0.774147,88.0
Nasal_dryness,0.635306147246,0.586772,22.0
Electrocardiogram_change,0.635259653936,0.57109,26.0
Neoplasm,0.635227871033,0.768188,127.0
Tumour_lysis_syndrome,0.634701894998,0.742971,20.0
Aphthous_stomatitis,0.634607838344,0.588828,38.0
Scab,0.633513643,0.473545,20.0
Iridocyclitis,0.632812521929,0.838942,14.0
Myeloid_leukaemia,0.632655882611,0.508547,19.0
Hypernatraemia,0.632610691927,0.806804,53.0
Hypoxia,0.632586460562,0.811818,73.0
Productive_cough,0.632399239657,0.409802,11.0
Oesophagitis,0.631840966342,0.777206,153.0
Polycythaemia,0.631832054218,0.689773,24.0
Lupus_miliaris_disseminatus_faciei,0.631758755381,0.946706,23.0
Corneal_opacity,0.631141204415,0.530695,17.0
Lacrimal_disorder,0.631100596475,0.434938,27.0
Speech_disorder,0.629455178228,0.823249,81.0
Cardiac_murmur,0.629347645052,0.570182,18.0
Paresis,0.629288560046,0.739414,40.0
Xanthopsia,0.629015688318,0.841923,14.0
Atelectasis,0.62901509215,0.59116,28.0
Osteoporosis,0.628782005711,0.850289,80.0
Stupor,0.628631738027,0.777492,59.0
Pharyngeal_oedema,0.627293866264,0.578438,13.0
Herpes_simplex,0.627023786804,0.793317,109.0
Skin_irritation,0.626558830771,0.565345,33.0
Pulmonary_fibrosis,0.626371267194,0.739711,53.0
Abscess,0.626133764753,0.756335,99.0
Personality_disorder,0.625747069198,0.663946,36.0
Hernia,0.625465991519,0.798492,68.0
Frequent_bowel_movements,0.625329366606,0.359515,11.0
Drug_withdrawal_syndrome,0.625206662707,0.512424,12.0
Ocular_hyperaemia,0.624808827727,0.544758,16.0
Renal_tubular_necrosis,0.624427660826,0.54792,24.0
Interstitial_lung_disease,0.624415276756,0.779764,85.0
Rash_generalised,0.624371070343,0.701657,31.0
Grand_mal_convulsion,0.623975667921,0.62213,38.0
Immunosuppression,0.623781870998,0.868188,34.0
Status_epilepticus,0.623554186054,0.617333,12.0
Osteopenia,0.623487360987,0.391621,12.0
Gingivitis,0.622692217466,0.82793,75.0
Cellulitis,0.620677061348,0.801936,87.0
Rheumatoid_arthritis,0.620615540397,0.386705,20.0
Tachypnoea,0.619704571218,0.463501,20.0
Deficiency_anaemia,0.619035314384,0.485867,15.0
Epididymitis,0.618696308239,0.503489,24.0
Nasal_ulcer,0.618633311947,0.908397,14.0
Menstruation_irregular,0.618422769609,0.838869,62.0
Peripheral_sensory_neuropathy,0.618338219056,0.672575,19.0
Adrenal_insufficiency,0.618279323158,0.746086,29.0
Cushingoid,0.618176407921,0.870991,39.0
Herpes_zoster,0.617968303246,0.812743,78.0
Cachexia,0.617807353091,0.542892,25.0
Hypotonia,0.617431754612,0.806582,56.0
Genital_candidiasis,0.616150710509,0.578494,14.0
Myelodysplastic_syndrome,0.614345291476,0.708405,19.0
Haemorrhoids,0.614298001288,0.719241,53.0
Priapism,0.614034565719,0.744289,38.0
Oral_pain,0.61376009283,0.569968,14.0
Sudden_death,0.613378627839,0.728681,37.0
Sexual_dysfunction,0.613361067106,0.608202,40.0
Fasting,0.613355568926,0.607269,29.0
Amenorrhoea,0.612448914174,0.807388,77.0
Skin_necrosis,0.612425704041,0.66037,29.0
Red_blood_cell_sedimentation_rate_increased,0.612380662172,0.543839,22.0
Cutaneous_vasculitis,0.612214271517,0.734836,15.0
Chorea,0.61138025767,0.510964,18.0
Miliaria,0.611043057534,0.891661,34.0
Flank_pain,0.610898108179,0.484732,22.0
Paraplegia,0.610281015301,0.785591,20.0
Infection_susceptibility_increased,0.610230466461,0.527007,13.0
Emphysema,0.61012149744,0.511281,11.0
Neoplasm_malignant,0.60985134007,0.784123,112.0
Colitis_ischaemic,0.609800072446,0.603683,18.0
Vitreous_detachment,0.608877031371,0.637458,12.0
Crocodile_tears_syndrome,0.607534860104,0.546225,17.0
Papilloedema,0.60724716455,0.804498,42.0
Hyperuricaemia,0.60686351699,0.798165,108.0
Cardio-respiratory_arrest,0.606333242109,0.527456,17.0
Breast_feeding,0.605890351132,0.759616,49.0
Hypertrophy,0.605853309714,0.774005,144.0
Ejaculation_disorder,0.605849738403,0.752944,36.0
Duodenal_ulcer,0.605844287008,0.62475,39.0
Arachnoiditis,0.605808886862,0.706334,20.0
Breast_cancer,0.60569831851,0.773092,35.0
Chest_discomfort,0.605535876411,0.79907,64.0
Polyneuropathy,0.605517394164,0.51245,21.0
Bruxism,0.605446866327,0.518814,14.0
Diverticulitis,0.605438211321,0.69217,22.0
Photopsia,0.605428107374,0.348996,18.0
Coma_hepatic,0.604776777112,0.686196,11.0
Seasonal_allergy,0.60392079064,0.648798,16.0
Ovarian_cyst,0.603780412831,0.688646,20.0
Disturbance_in_attention,0.603600969668,0.483648,23.0
Lymphoma,0.603568247841,0.742998,42.0
Faecal_incontinence,0.603296655854,0.670771,41.0
Urine_abnormality,0.602669445513,0.74759,51.0
Aspiration,0.602602909284,0.411993,27.0
Duodenitis,0.602258259101,0.598478,24.0
Ileus,0.602187146816,0.811111,88.0
Pancreatitis,0.601717639508,0.759527,240.0
Dementia,0.601134143775,0.522352,27.0
Pigmentation_disorder,0.599964973845,0.781193,56.0
Hepatic_steatosis,0.599761647012,0.598648,30.0
Myopathy,0.599530674082,0.806869,87.0
Papule,0.599080699662,0.48659,11.0
Deep_vein_thrombosis,0.598663929795,0.742362,93.0
Haemoglobin_decreased,0.598406996075,0.830613,50.0
Osteoporotic_fracture,0.598025001619,0.44503,11.0
Tooth_disorder,0.597663032155,0.76986,80.0
Sinus_bradycardia,0.59711009361,0.707134,39.0
Glaucoma,0.59695556207,0.83354,85.0
Libido_increased,0.596613453384,0.821554,53.0
Eye_irritation,0.595495919648,0.855516,79.0
Nail_disorder,0.594614652272,0.872075,65.0
Skin_hyperpigmentation,0.594547936452,0.844064,52.0
Opportunistic_infection,0.594256028815,0.512184,17.0
Uterine_haemorrhage,0.594064704173,0.567127,34.0
Cystitis_haemorrhagic,0.593843005952,0.479651,20.0
Systemic_lupus_erythematosus,0.592541607601,0.869048,78.0
Disseminated_intravascular_coagulation,0.592511020938,0.651034,37.0
Leiomyoma,0.592400446885,0.333223,15.0
Retinitis_pigmentosa,0.592329592427,0.483026,28.0
Bone_pain,0.592258924448,0.779998,99.0
Intermittent_claudication,0.592189475511,0.415766,17.0
Herpes_virus_infection,0.592083655657,0.796064,134.0
Eye_infection,0.591756138393,0.721663,29.0
Diabetes_mellitus,0.591378272258,0.780693,138.0
Bone_disorder,0.591248094729,0.541402,42.0
Pancreatic_disorder,0.590859169242,0.734962,32.0
Blood_urea_increased,0.590645122627,0.844152,97.0
Autonomic_neuropathy,0.590364948653,0.615915,24.0
Micturition_urgency,0.590345317229,0.704278,49.0
Impaired_healing,0.589930082987,0.86208,54.0
Hostility,0.58966946468,0.755235,41.0
Hemiparesis,0.589229714679,0.417832,16.0
Neuroleptic_malignant_syndrome,0.589105070008,0.834081,42.0
Acne,0.588934801027,0.738401,162.0
Glucose_tolerance_impaired,0.58888758155,0.813703,36.0
Folliculitis,0.588797214634,0.851327,68.0
Pneumonia,0.588172486832,0.728284,228.0
Balanitis,0.586780540804,0.581017,12.0
Proctitis,0.586551417539,0.61689,21.0
Electrocardiogram_abnormal,0.586524617669,0.747632,54.0
Alveolitis,0.586435959199,0.498553,16.0
Cyst,0.585330075454,0.803075,74.0
Blindness,0.58517644327,0.73347,89.0
Movement_disorder,0.58456921682,0.527619,15.0
Urine_output,0.584336080445,0.572946,24.0
Incontinence,0.583831763223,0.770696,143.0
Ageusia,0.583659181085,0.812992,76.0
Blister,0.583437706818,0.739403,65.0
Coombs_direct_test_positive,0.583422778772,0.983384,12.0
Sneezing,0.583324296228,0.73954,51.0
Skin_atrophy,0.583021549732,0.964292,36.0
Breast_tenderness,0.582656310491,0.706618,25.0
Pulmonary_congestion,0.582490644819,0.589168,31.0
Pathological_fracture,0.582408900747,0.807737,48.0
Dystonia,0.58224513344,0.813481,71.0
Asphyxia,0.582109758256,0.535025,12.0
Sensitisation,0.582101276492,0.596572,29.0
Parotid_gland_enlargement,0.581787679842,0.698892,16.0
Blepharitis,0.58096467887,0.746848,54.0
Tendonitis,0.580320072549,0.54795,35.0
Skin_ulcer,0.580146629643,0.808078,81.0
Haemoptysis,0.580104200571,0.796333,73.0
Peripheral_ischaemia,0.579879195602,0.489735,25.0
Fibrocystic_breast_disease,0.579713169656,0.529321,11.0
Cholestasis,0.579675995754,0.806254,72.0
Tachycardia,0.579476760756,0.750568,385.0
Alopecia,0.579389647706,0.744294,314.0
Obstructive_airways_disorder,0.578939323646,0.451271,18.0
Acidosis,0.578708218174,0.80588,80.0
Neutropenia,0.578428218584,0.843134,226.0
Hyperventilation,0.578234762355,0.842202,65.0
Cholangitis,0.57792674161,0.480959,20.0
Pancreatitis_acute,0.577776996668,0.478856,31.0
Haemorrhage_intracranial,0.577749846377,0.37952,21.0
Gravitational_oedema,0.577633219657,0.585569,18.0
Neurological_symptom,0.577413194863,0.607048,13.0
Tooth_abscess,0.576736524733,0.676804,42.0
Pyuria,0.576589228505,0.75165,42.0
Depersonalisation,0.576251094915,0.836543,59.0
Palpitations,0.575753818447,0.759182,291.0
Delirium,0.575527358078,0.764701,78.0
Peptic_ulcer,0.575318929798,0.81859,71.0
Ischaemia,0.575156447431,0.784338,120.0
Rectal_tenesmus,0.574830858165,0.664938,29.0
Mania,0.574746688709,0.81778,50.0
Hypochromic_anaemia,0.573510161865,0.601477,36.0
Vaginal_discharge,0.573400815372,0.763612,62.0
Weight_decreased,0.57306987647,0.770119,180.0
Optic_neuritis,0.572669574146,0.746235,54.0
Leukaemia,0.572643519968,0.683816,39.0
Sensation_of_foreign_body,0.572548566125,0.683326,30.0
Penis_disorder,0.572246239979,0.605357,15.0
Cardiac_flutter,0.571886352919,0.59047,36.0
Feeling_abnormal,0.571328083344,0.56939,23.0
Completed_suicide,0.571253360215,0.841833,63.0
Coma,0.570970794805,0.774905,121.0
Urinary_tract_infection,0.570922664223,0.769366,214.0
Hyperlipidaemia,0.570495780881,0.815643,67.0
Rash_erythematous,0.570229824032,0.74739,58.0
Gingival_hyperplasia,0.570212618622,0.625396,28.0
Hypophosphataemia,0.570201485897,0.831567,52.0
Iritis,0.569925168696,0.604912,27.0
Dermatitis_bullous,0.56941329722,0.797539,88.0
Petechiae,0.569306264768,0.822639,86.0
Platelet_count_decreased,0.569167857532,0.68702,43.0
Enteritis,0.569161758251,0.504621,27.0
Amnesia,0.568750738316,0.760916,133.0
Loss_of_consciousness,0.568573796242,0.741274,53.0
Haemolysis,0.568567277013,0.561722,32.0
Skin_disorder,0.568528933987,0.80002,120.0
Periodontitis,0.568162393162,0.612761,11.0
Thrombophlebitis,0.568084258617,0.820605,156.0
Gynaecomastia,0.56797458702,0.808095,123.0
Cogwheel_rigidity,0.56796006113,0.424206,13.0
Throat_tightness,0.567824771307,0.799435,37.0
Hypokinesia,0.567796678929,0.774326,63.0
Gastrointestinal_disorder,0.567698686475,0.735356,253.0
Rash_papular,0.567109027721,0.556411,30.0
Transaminases_increased,0.567029650035,0.793659,52.0
Encephalopathy,0.56636700385,0.825645,67.0
Weight_increased,0.566307016345,0.753821,223.0
Nystagmus,0.566264095398,0.847001,63.0
Hyperkalaemia,0.566072446911,0.793829,94.0
Oesophageal_disorder,0.56601865394,0.795106,62.0
Epilepsy,0.56578091395,0.490433,20.0
Migraine,0.565764038728,0.760115,148.0
Nephropathy_toxic,0.565591580245,0.906982,52.0
Anorectal_disorder,0.565081975773,0.818691,61.0
Menorrhagia,0.564822633426,0.77319,85.0
Apnoea,0.564742743423,0.815921,78.0
Abdominal_distension,0.564537597498,0.751606,184.0
Otitis_externa,0.564534603003,0.538811,28.0
Mydriasis,0.56430778821,0.839575,76.0
Necrosis,0.564244651184,0.755468,190.0
Azotaemia,0.564186501265,0.83553,53.0
Endocrine_disorder,0.564123880821,0.79027,44.0
Eczema,0.563988672797,0.781505,145.0
Congenital_anomaly,0.563343454149,0.581719,27.0
Cardiac_arrest,0.563284200944,0.75649,160.0
Hepatic_enzyme_increased,0.563281510099,0.782585,97.0
Eyelid_oedema,0.563118148721,0.50855,16.0
Thrombotic_thrombocytopenic_purpura,0.563019407215,0.616519,25.0
Hangover,0.562638600139,0.646264,12.0
Pulmonary_oedema,0.562596689727,0.767799,131.0
Dry_throat,0.562179727534,0.456176,33.0
Vision_blurred,0.562159727769,0.805852,282.0
Somnambulism,0.562082330928,0.50878,11.0
Jaundice,0.561993895585,0.726555,267.0
Nodule,0.56170483118,0.643059,45.0
Erythema_nodosum,0.56169230541,0.849137,39.0
Hypothyroidism,0.561395512724,0.730942,58.0
Crystalluria,0.561352292016,0.635392,28.0
Urinary_incontinence,0.561304164224,0.790224,118.0
Hypocalcaemia,0.561191736319,0.787723,76.0
Back_pain,0.560909896766,0.737344,287.0
Cataract,0.560776023643,0.826545,132.0
Leukoencephalopathy,0.560701943441,0.872188,26.0
Leukopenia,0.560563712464,0.790648,357.0
Protrusion_tongue,0.560115195483,0.949984,22.0
Pulmonary_haemorrhage,0.559243374261,0.492206,21.0
Respiratory_depression,0.559209182343,0.639802,50.0
Hepatic_cirrhosis,0.559204793028,0.57504,29.0
Hyperbilirubinaemia,0.559169109914,0.791732,90.0
Conjunctivitis,0.559156503054,0.741467,226.0
Euphoric_mood,0.559052007751,0.811843,111.0
Pruritus_genital,0.558960673344,0.557237,26.0
Dyskinesia,0.558503042738,0.854022,73.0
Flatulence,0.558489264813,0.759648,267.0
Liver_function_test_abnormal,0.558464707787,0.786447,153.0
Inflammation,0.558463210817,0.810446,116.0
Drug_abuse,0.5584435873,0.655084,30.0
Cardiac_failure_congestive,0.558409827292,0.813829,171.0
Toxic_epidermal_necrolysis,0.558376715568,0.800066,204.0
Mouth_ulceration,0.558249272773,0.793479,126.0
Paranoia,0.558167449466,0.813306,57.0
Anaemia_megaloblastic,0.557723441623,0.554468,15.0
Burning_sensation,0.557656981626,0.797816,59.0
Mediastinal_disorder,0.556933689864,0.781047,114.0
Breath_odour,0.556909265001,0.570163,27.0
Oculogyric_crisis,0.556676184128,0.776295,26.0
Hypotension,0.556596539514,0.752057,387.0
Antinuclear_antibody_positive,0.556228440108,0.575453,27.0
Metabolic_acidosis,0.555990276784,0.610793,30.0
Nephropathy,0.55583162243,0.883726,63.0
Transient_ischaemic_attack,0.555168420606,0.748581,44.0
Anaemia,0.55508316558,0.806591,417.0
Stomatitis,0.554468307802,0.79096,220.0
Alveolitis_allergic,0.554268967858,0.555274,15.0
Prurigo,0.553540481178,0.477621,28.0
Nervousness,0.553459467645,0.769565,272.0
Effusion,0.553186669366,0.829935,95.0
Fibrosis,0.551929564773,0.761992,70.0
Vasculitis,0.551709197157,0.788433,148.0
Generalised_oedema,0.550888175273,0.68342,51.0
Hypomagnesaemia,0.550647345853,0.726074,51.0
Glycosuria,0.550553826679,0.827747,105.0
Thrombocytopenia,0.550440541056,0.806264,409.0
Xerophthalmia,0.550440111797,0.482919,23.0
Bronchospasm,0.550256040097,0.778139,167.0
Tetany,0.549488702304,0.425434,20.0
Hyponatraemia,0.549453319461,0.827872,132.0
Pemphigus,0.549436493094,0.493156,16.0
Mental_disorder,0.549038965394,0.779506,140.0
Rosacea,0.548972873973,0.435272,12.0
Scotoma,0.548758549218,0.816056,71.0
Ataxia,0.548708867602,0.818044,162.0
Obstruction,0.54862150468,0.770919,103.0
Disease_progression,0.548478668787,0.493782,34.0
Vasculitis_necrotising,0.548461395932,0.749035,17.0
Ejaculation_failure,0.548153767408,0.655743,13.0
Infestation,0.547449989977,0.803111,110.0
Aplasia,0.547438755009,0.636169,27.0
Dehydration,0.5472869216,0.785289,146.0
Major_depression,0.547277304817,0.4936,18.0
Orthostatic_hypotension,0.547095499435,0.778369,169.0
Asthma,0.547012348945,0.763285,176.0
Oedema_peripheral,0.546809452862,0.749937,239.0
Dyspnoea,0.546806234623,0.742346,424.0
Hypertension,0.546670549136,0.744634,362.0
Intracranial_pressure_increased,0.546579361678,0.768294,51.0
Ventricular_tachycardia,0.546473776244,0.850097,87.0
Injection_site_pain,0.545933565028,0.810534,72.0
Memory_impairment,0.545591810493,0.775906,49.0
Uveitis,0.545419992963,0.502835,24.0
Pallor,0.545026946382,0.797927,73.0
Aphasia,0.544735932417,0.823969,50.0
Local_reaction,0.544688938376,0.808875,46.0
Fungal_skin_infection,0.544679491273,0.753684,47.0
Keratitis,0.544635862152,0.797628,71.0
Dysphoria,0.544281443194,0.578511,18.0
Eye_pruritus,0.543774192666,0.527132,28.0
Yawning,0.543717633929,0.740668,29.0
Hepatic_necrosis,0.543147809272,0.801996,65.0
Psychotic_disorder,0.542999103627,0.766708,130.0
Chills,0.542747681541,0.755439,267.0
Infarction,0.542506349269,0.748399,218.0
Delusion,0.54248752938,0.83365,56.0
Dysphonia,0.542413608448,0.80153,94.0
Leukocytosis,0.542333235092,0.791207,98.0
Injection_site_reaction,0.542284911506,0.770605,81.0
Nausea,0.542156363893,0.810474,660.0
Inappropriate_antidiuretic_hormone_secretion,0.542101826548,0.793544,49.0
Atrophy,0.542030151375,0.84246,79.0
Gout,0.541548187288,0.806592,99.0
Drug_interaction,0.541381427048,0.815933,77.0
Mood_swings,0.541352340917,0.766886,149.0
Dysuria,0.541347695072,0.77409,199.0
Hypersensitivity,0.5412995073,0.792398,504.0
Erythema_multiforme,0.541173431985,0.773141,201.0
Hyperhidrosis,0.540913899974,0.74496,393.0
Angina_pectoris,0.540818830949,0.762301,188.0
Akinesia,0.54061832988,0.421407,19.0
Hepatomegaly,0.540589795022,0.839664,69.0
Psoriasis,0.540079168002,0.832762,61.0
Hyperacusis,0.54007367393,0.718974,28.0
Sinusitis,0.539383608968,0.738993,237.0
Coagulopathy,0.539196135181,0.562556,37.0
Haematocrit_decreased,0.539194452284,0.571286,24.0
Mastitis,0.538671631114,0.373078,23.0
Candida_infection,0.538584680504,0.812476,140.0
Dry_skin,0.538241288962,0.780826,166.0
Intestinal_obstruction,0.538213111705,0.820272,63.0
Libido_decreased,0.538125096404,0.786685,136.0
Ear_disorder,0.53801011021,0.672206,42.0
Superinfection,0.537823368222,0.803831,15.0
Nocturia,0.537799171065,0.790115,110.0
Abnormal_dreams,0.537709030808,0.812029,86.0
Haemolytic_anaemia,0.537706897398,0.803311,162.0
Alanine_aminotransferase_increased,0.537616599258,0.770707,132.0
Lymphocytosis,0.537606672073,0.698994,25.0
Enterocolitis,0.537382955206,0.777813,45.0
Hepatitis,0.53728398099,0.748527,283.0
Carpal_tunnel_syndrome,0.537193065255,0.652147,24.0
Sedation,0.536699621345,0.856661,67.0
Pyelonephritis,0.536686891619,0.695611,37.0
Confusional_state,0.536630196108,0.759663,352.0
Dissociation,0.536407219562,0.751943,44.0
Wheezing,0.536354872777,0.84308,82.0
Skin_discolouration,0.535967751665,0.817003,86.0
Scleritis,0.535253392388,0.714281,12.0
Peritonitis,0.534882058411,0.578648,25.0
Myocardial_ischaemia,0.534731443824,0.79591,72.0
Jaundice_cholestatic,0.534730058319,0.764539,96.0
Eye_pain,0.534676250079,0.734206,117.0
Increased_appetite,0.534650181967,0.770969,160.0
Bronchitis,0.534122338045,0.753287,203.0
Pericarditis,0.53408377296,0.814527,54.0
Drooling,0.533926158682,0.406609,11.0
Lung_disorder,0.533857624035,0.783471,70.0
Musculoskeletal_disorder,0.533750030425,0.683548,40.0
